"trait","beta","a","d","aa","ad","dd"
"a - a",NA,30.01801764,NA,NA,NA,NA
"a",5.65,6.147834954,NA,NA,NA,NA
"a",0.825,0.824249084,NA,NA,NA,NA
"a / a",NA,153.3710187,3773.584189,1016.642935,-1571.80647,-2507.072975
"a / a",NA,0.009763688,NA,-0.000917418,NA,NA
"a * a",NA,69.84563903,NA,5.720965852,NA,NA
"a + a",NA,6.973084103,NA,NA,NA,NA
"a - a",NA,5.322553818,NA,NA,NA,NA
"a - a",NA,-5.322553818,NA,NA,NA,NA
"a",6.52,6.283240207,NA,NA,NA,NA
"a",9.45,9.58224276,NA,NA,NA,NA
"a / a",NA,-0.724702489,-0.400212398,NA,NA,NA
"a / a",NA,0.12749462,0.042864863,NA,NA,NA
"a * a",NA,644.1561027,NA,NA,NA,NA
"a + a",NA,15.8468058,NA,NA,NA,NA
"a - a",NA,-3.231087628,NA,NA,NA,NA
"a - a",NA,3.231087628,NA,NA,NA,NA
"a",0.0715,0.060351137,NA,-0.063823422,0.244377081,NA
"a",1.65,1.508454418,NA,NA,NA,NA
"a / a",NA,-0.013191921,NA,NA,NA,NA
"a / a",NA,0.538664378,NA,NA,NA,NA
"a * a",NA,4.130508635,NA,NA,NA,NA
"a + a",NA,1.597518148,NA,NA,NA,NA
"a - a",NA,-1.428784008,NA,NA,NA,NA
"a - a",NA,1.428784008,NA,NA,NA,NA
"a",1.85,1.749694957,NA,NA,NA,NA
"a",1.7,1.690942204,NA,NA,NA,NA
"a / a",NA,-10.69909623,NA,5.167482605,7.065816012,NA
"a / a",NA,0.068758496,NA,NA,NA,NA
"a * a",NA,41.25056602,NA,NA,NA,NA
"a + a",NA,3.446930136,NA,NA,NA,NA
"a - a",NA,NA,NA,NA,NA,NA
"a - a",NA,NA,NA,NA,NA,NA
"a",0.877806667,0.876406112,NA,NA,NA,NA
"a",0.125,NA,NA,NA,NA,NA
"a / a",NA,0.070916379,NA,NA,NA,NA
"a / a",NA,14.49730759,-1235.641532,-543.8993211,90.62192601,817.4039765
"a * a",NA,10.91496607,NA,NA,NA,NA
"a + a",NA,0.816032981,NA,NA,NA,NA
"a - a",NA,0.936139785,NA,NA,NA,NA
"a - a",NA,-0.936139785,NA,NA,NA,NA
"a",0.819,0.934218013,NA,NA,NA,NA
"a",6015,5986.774522,NA,NA,NA,NA
"a / a",NA,-2.42e-05,NA,NA,NA,NA
"a / a",NA,482.0635264,NA,NA,NA,NA
"a * a",NA,33998.09723,NA,7166.20303,-5141.121671,NA
"a + a",NA,5987.708657,NA,NA,NA,NA
"a - a",NA,-5985.840403,NA,NA,NA,NA
"a - a",NA,5985.840403,NA,NA,NA,NA
"a",16.465,15.2843641,NA,NA,NA,NA
"a",10.685,11.99518342,NA,NA,NA,NA
"a / a",NA,-0.133378092,NA,NA,NA,NA
"a / a",NA,0.041129647,NA,NA,NA,NA
"a * a",NA,1514.216602,-229.9381922,NA,NA,NA
"a + a",NA,27.41547509,NA,NA,NA,NA
"a - a",NA,3.358913887,NA,NA,NA,NA
"a - a",NA,-3.358913887,NA,NA,NA,NA
"a",1.315,1.324095428,NA,NA,0.066149243,NA
"a",2.435,2.576301594,NA,NA,NA,NA
"a / a",NA,0.07410293,NA,-0.010115902,NA,NA
"a / a",NA,-12.40666985,NA,9.456503222,NA,NA
"a * a",NA,23.72098839,NA,3.631793819,NA,NA
"a + a",NA,3.89586213,NA,NA,NA,NA
"a - a",NA,-1.258703592,NA,NA,NA,NA
"a - a",NA,1.258703592,NA,NA,NA,NA
"a",2.45,2.609196646,-3.70098629,NA,NA,NA
"a",10.685,10.28431642,NA,NA,NA,NA
"a / a",NA,-0.237257086,-0.293481769,NA,NA,NA
"a / a",NA,0.179262258,0.209106283,NA,NA,NA
"a * a",NA,580.667614,NA,NA,NA,NA
"a + a",NA,12.95342703,NA,NA,NA,NA
"a - a",NA,-8.002806988,-8.316393079,NA,NA,NA
"a - a",NA,8.002806988,8.316393079,NA,NA,NA
"a",27.75,28.12626,NA,NA,-10.76806358,NA
"a",1.255730239,1.26039999,NA,NA,NA,NA
"a / a",NA,226.8522923,-3694.548185,-904.207086,-1635.212113,2464.373758
"a / a",NA,0.012524425,NA,-0.002866057,-0.000837403,NA
"a * a",NA,131.1467231,NA,32.31172755,NA,NA
"a + a",NA,29.38802345,NA,NA,-10.78003526,NA
"a - a",NA,26.86454045,NA,NA,-10.7560165,NA
"a - a",NA,-26.86454045,NA,NA,10.7560165,NA
"a",1.85,1.849094136,NA,1.280744727,NA,2.658014318
"a",32.5,34.88878523,NA,NA,NA,NA
"a / a",NA,-0.039827745,NA,NA,NA,NA
"a / a",NA,0.984077332,NA,NA,NA,NA
"a * a",NA,1167.389691,NA,374.3918079,NA,NA
"a + a",NA,36.49984453,NA,NA,NA,NA
"a - a",NA,-33.22820285,NA,NA,NA,NA
"a - a",NA,33.22820285,NA,NA,NA,NA
"a",136.9,128.8188807,NA,NA,NA,NA
"a",0.64,0.634820723,NA,NA,NA,NA
"a / a",NA,16.88475278,NA,NA,NA,NA
"a / a",NA,-0.001375188,NA,NA,NA,NA
"a * a",NA,684.6470288,NA,NA,NA,NA
"a + a",NA,129.4589159,NA,NA,NA,NA
"a - a",NA,128.1790001,NA,NA,NA,NA
"a - a",NA,-128.1790001,NA,NA,NA,NA
"a",0.2905,NA,NA,NA,NA,NA
"a",12.465,11.97094848,NA,NA,NA,NA
"a / a",NA,-0.041828335,NA,NA,NA,NA
"a / a",NA,0.584012147,NA,NA,NA,NA
"a * a",NA,246.55075,NA,NA,NA,NA
"a + a",NA,12.07111789,NA,NA,NA,-2.401639281
"a - a",NA,-11.87238638,NA,NA,NA,NA
"a - a",NA,11.87238638,NA,NA,NA,NA
"a",3.6875,3.668869175,NA,NA,NA,NA
"a",59.15,58.21767704,9.142686265,3.461064459,2.520823706,-6.324083782
"a / a",NA,0.09145438,NA,NA,-0.654392947,NA
"a / a",NA,12.02965159,10.40437168,-4.813202605,-8.87208319,-6.864013759
"a * a",NA,448.412792,38.17068256,234.0044616,NA,-30.44040913
"a + a",NA,61.85689201,9.893044781,3.976831953,2.522701774,-6.906199707
"a - a",NA,-54.58721069,NA,NA,-2.526772324,NA
"a - a",NA,54.58721069,NA,NA,2.526772324,NA
"a",7.05,7.345775355,3.536847958,2.946294236,NA,NA
"a",0.89285714,0.896779382,0.286371507,NA,NA,-0.25938873
"a / a",NA,-1.373143244,NA,1.249879334,NA,1.454821003
"a / a",NA,0.008747963,NA,-0.006621507,NA,-0.012614124
"a * a",NA,49.30804658,31.98377089,19.29866456,NA,-17.58300307
"a + a",NA,8.258465586,3.760988602,2.942649916,-1.011111631,NA
"a - a",NA,6.423312171,3.182580229,2.902310979,NA,NA
"a - a",NA,-6.423312171,-3.182580229,-2.902310979,NA,NA
"a",12.5,11.103311,NA,NA,NA,NA
"a",0.17,0.170496464,NA,NA,NA,NA
"a / a",NA,-51.12578061,NA,17.99506601,NA,NA
"a / a",NA,0.000921362,NA,-0.000176368,NA,NA
"a * a",NA,28.22974204,NA,NA,NA,NA
"a + a",NA,11.27062091,NA,NA,NA,NA
"a - a",NA,10.93603365,NA,NA,NA,NA
"a - a",NA,-10.93603365,NA,NA,NA,NA
"a",29.8,29.54750227,NA,NA,NA,NA
"a",20.36,20.25438539,NA,NA,NA,NA
"a / a",NA,NA,NA,NA,NA,NA
"a / a",NA,-0.027011905,NA,NA,NA,NA
"a * a",NA,2838.997175,NA,480.4128704,NA,NA
"a + a",NA,49.81976689,NA,NA,NA,-4.819045819
"a - a",NA,9.429668842,NA,NA,NA,NA
"a - a",NA,-9.429668842,NA,NA,NA,NA
"a",4.95,5.142903234,NA,NA,NA,NA
"a",1.625,1.616911105,NA,NA,NA,NA
"a / a",NA,-1.3212568,NA,0.605345047,NA,NA
"a / a",NA,0.035825511,NA,NA,NA,NA
"a * a",NA,50.96474131,-9.130445152,NA,NA,NA
"a + a",NA,6.789308145,NA,NA,NA,NA
"a - a",NA,3.497542886,NA,NA,NA,NA
"a - a",NA,-3.497542886,NA,NA,NA,NA
"a",1.65,1.580339714,NA,NA,NA,NA
"a",8.65,8.534833151,NA,NA,NA,NA
"a / a",NA,4.236567738,135.2067988,38.49965077,-53.6301403,-90.05952177
"a / a",NA,0.379818073,NA,-0.016602639,NA,NA
"a * a",NA,195.2272884,NA,16.0163823,NA,NA
"a + a",NA,10.1004132,NA,NA,NA,NA
"a - a",NA,-6.921244572,NA,NA,NA,NA
"a - a",NA,6.921244572,NA,NA,NA,NA
"a",2.6,2.6498853,NA,NA,NA,NA
"a",34.13,33.42595442,NA,NA,NA,NA
"a / a",NA,0.004649999,NA,NA,NA,NA
"a / a",NA,-1.633393015,NA,NA,NA,NA
"a * a",NA,600.4266837,NA,45.11554409,NA,NA
"a + a",NA,36.08301792,NA,NA,NA,NA
"a - a",NA,-30.76985323,NA,NA,NA,NA
"a - a",NA,30.76985323,NA,NA,NA,NA
"a",76.5,76.90537821,NA,NA,NA,NA
"a",0.255568333,0.256902309,NA,NA,NA,NA
"a / a",NA,25.74706987,-934.1415767,-372.8509564,204.2259254,618.4281634
"a / a",NA,-0.000317782,0.020317958,0.007335613,-0.005930033,-0.013524267
"a * a",NA,15.75558327,NA,19.69156371,NA,NA
"a + a",NA,77.16327027,NA,NA,NA,NA
"a - a",NA,76.64748712,NA,NA,NA,NA
"a - a",NA,-76.64748712,NA,NA,NA,NA
"a",0.036,NA,0.730178795,0.249141225,NA,-0.459956179
"a",1.545,1.338422706,NA,NA,NA,NA
"a / a",NA,-0.043193204,NA,NA,NA,NA
"a / a",NA,0.63682717,NA,NA,NA,NA
"a * a",NA,2.92630456,NA,NA,NA,NA
"a + a",NA,1.367732692,NA,NA,NA,-0.27910406
"a - a",NA,-1.319501927,NA,NA,NA,NA
"a - a",NA,1.319501927,NA,NA,NA,NA
"a",0.044623848,0.0447972,NA,NA,NA,NA
"a",17.857145,17.85197295,NA,NA,NA,NA
"a / a",NA,0.001392855,0.000797191,-0.00071389,-0.001108277,-0.000492313
"a / a",NA,1232.644347,6357.911204,721.3172401,-3622.671146,-4269.005151
"a * a",NA,1.834250008,NA,0.802956347,NA,NA
"a + a",NA,17.89714228,NA,NA,NA,NA
"a - a",NA,-17.80680308,NA,NA,NA,NA
"a - a",NA,17.80680308,NA,NA,NA,NA
"a",76.5,77.65929819,NA,NA,-1.491348393,NA
"a",2.15,2.180299454,NA,NA,NA,NA
"a / a",NA,-60.83083575,-308.5742685,-33.33978989,179.0385108,206.6113841
"a / a",NA,0.013053615,NA,-0.034066961,-0.040115243,NA
"a * a",NA,219.4592788,NA,167.1915055,NA,NA
"a + a",NA,79.8526092,NA,NA,-1.5622828,NA
"a - a",NA,75.46404516,NA,NA,-1.406964808,NA
"a - a",NA,-75.46404516,NA,NA,1.406964808,NA
"a",44.81,45.6502163,NA,NA,NA,NA
"a",35.515,34.18720694,NA,NA,NA,NA
"a / a",NA,0.096558592,0.07121665,NA,NA,NA
"a / a",NA,-0.165576441,-0.135340609,NA,NA,NA
"a * a",NA,13384.19955,NA,NA,NA,NA
"a + a",NA,79.0462816,NA,NA,NA,NA
"a - a",NA,11.30761867,NA,NA,NA,NA
"a - a",NA,-11.30761867,NA,NA,NA,NA
"a",20.36,20.10082928,NA,NA,NA,NA
"a",26.5,25.82259753,NA,2.538970956,NA,NA
"a / a",NA,NA,NA,-0.035871543,NA,NA
"a / a",NA,NA,NA,0.113509148,NA,NA
"a * a",NA,2582.27763,NA,622.4085638,NA,NA
"a + a",NA,45.84468451,NA,NA,NA,NA
"a - a",NA,-5.886794371,NA,-3.392835445,NA,NA
"a - a",NA,5.886794371,NA,3.392835445,NA,NA
"a",4095.5,4284.527763,NA,NA,NA,NA
"a",4.585,4.775825758,NA,NA,NA,NA
"a / a",NA,-759.0522926,NA,481.7103428,455.2588627,NA
"a / a",NA,0.000165917,NA,-4.89e-05,NA,NA
"a * a",NA,102078.3532,NA,21728.92435,NA,NA
"a + a",NA,4289.253144,NA,NA,NA,NA
"a - a",NA,4279.802413,NA,NA,NA,NA
"a - a",NA,-4279.802413,NA,NA,NA,NA
"a",8.825,4.968520693,NA,NA,NA,NA
"a",14.1,14.11974442,NA,NA,NA,NA
"a / a",NA,21.89713694,NA,-54.95881417,-61.37078074,NA
"a / a",NA,0.060167297,NA,NA,NA,NA
"a * a",NA,3329.116855,NA,NA,NA,NA
"a + a",NA,21.29361432,NA,NA,NA,NA
"a - a",NA,-5.098534278,NA,NA,NA,NA
"a - a",NA,5.098534278,NA,NA,NA,NA
"a",30.415,30.223337,NA,NA,NA,NA
"a",166.9,167.6947436,NA,NA,NA,NA
"a / a",NA,0.013450543,NA,NA,NA,NA
"a / a",NA,-7.746860999,NA,NA,NA,NA
"a * a",NA,63773.50113,NA,NA,NA,NA
"a + a",NA,197.7390094,NA,NA,NA,NA
"a - a",NA,-137.6572228,NA,NA,NA,NA
"a - a",NA,137.6572228,NA,NA,NA,NA
"a",0.0425,0.032498307,NA,NA,NA,NA
"a",9.95,9.817222386,NA,NA,NA,NA
"a / a",NA,-0.012025137,NA,0.003082334,0.003548375,NA
"a / a",NA,13.15490828,NA,NA,NA,NA
"a * a",NA,7.275913829,NA,NA,NA,NA
"a + a",NA,9.851310659,NA,NA,NA,NA
"a - a",NA,-9.783043671,NA,NA,NA,NA
"a - a",NA,9.783043671,NA,NA,NA,NA
"a",0.6855,0.407703083,NA,NA,0.994251112,NA
"a",87.5,86.89015125,NA,NA,NA,NA
"a / a",NA,-0.13522053,NA,0.110295794,NA,NA
"a / a",NA,8.437131279,NA,NA,NA,NA
"a * a",NA,887.5495244,NA,NA,NA,NA
"a + a",NA,87.50235331,NA,NA,NA,NA
"a - a",NA,-86.23709062,NA,NA,NA,NA
"a - a",NA,86.23709062,NA,NA,NA,NA
"a",5.6,3.921451682,NA,0.975368778,4.7843901,NA
"a",0.365142715,0.36769597,NA,NA,NA,NA
"a / a",NA,-59.65868439,NA,36.30331449,30.87638634,NA
"a / a",NA,0.005485147,NA,-0.000953861,NA,NA
"a * a",NA,24.06791277,NA,2.097096187,NA,NA
"a + a",NA,4.285568677,NA,0.964430779,4.80253027,NA
"a - a",NA,3.557318042,NA,0.986173385,4.766199585,NA
"a - a",NA,-3.557318042,NA,-0.986173385,-4.766199585,NA
"a",213.005,219.5331768,NA,NA,-29.13785874,NA
"a",6.01,5.892673712,NA,NA,NA,NA
"a / a",NA,5.247830072,NA,-1.355649129,-3.185683305,NA
"a / a",NA,-0.01495616,NA,0.006010615,0.011538525,NA
"a * a",NA,6724.052439,NA,813.8624589,NA,NA
"a + a",NA,224.9583567,NA,NA,-26.75996179,NA
"a - a",NA,214.1183015,NA,NA,-31.51991202,NA
"a - a",NA,-214.1183015,NA,NA,31.51991202,NA
"a",3.08335,3.217185502,NA,NA,NA,NA
"a",0.092,0.093695773,NA,NA,NA,NA
"a / a",NA,3.131295721,NA,NA,NA,NA
"a / a",NA,-0.122857378,NA,0.059062042,NA,NA
"a * a",NA,3.250086613,NA,0.536772539,NA,NA
"a + a",NA,3.309398467,NA,NA,NA,NA
"a - a",NA,3.125057948,NA,NA,NA,NA
"a - a",NA,-3.125057948,NA,NA,NA,NA
"a",133.875,140.8478059,NA,NA,NA,NA
"a",0.3335,0.340444845,NA,NA,NA,NA
"a / a",NA,NA,NA,NA,NA,NA
"a / a",NA,NA,NA,NA,NA,NA
"a * a",NA,1067.351279,NA,NA,NA,NA
"a + a",NA,141.1539341,NA,NA,NA,NA
"a - a",NA,140.5417062,NA,NA,NA,NA
"a - a",NA,-140.5417062,NA,NA,NA,NA
"a",1.885,1.021530305,NA,NA,NA,NA
"a",10.05,9.626754347,NA,NA,NA,NA
"a / a",NA,-0.148483702,NA,NA,NA,NA
"a / a",NA,0.19617716,NA,NA,NA,NA
"a * a",NA,487.9376985,NA,NA,NA,95.4117186
"a + a",NA,11.07489644,NA,NA,NA,2.157751167
"a - a",NA,-8.536488291,NA,NA,NA,NA
"a - a",NA,8.536488291,NA,NA,NA,NA
"a",16.465,15.21691356,NA,NA,NA,NA
"a",0.019,NA,NA,NA,NA,NA
"a / a",NA,7.382988658,NA,NA,NA,NA
"a / a",NA,-0.005357631,NA,NA,NA,NA
"a * a",NA,31.33209427,NA,NA,NA,NA
"a + a",NA,15.25161511,NA,NA,NA,NA
"a - a",NA,15.18227834,NA,NA,NA,NA
"a - a",NA,-15.18227834,NA,NA,NA,NA
"a",4.8,5.073484983,NA,NA,NA,NA
"a",5.46,5.629104291,4.437914894,3.597933164,NA,NA
"a / a",NA,-0.1072062,NA,NA,NA,NA
"a / a",NA,0.020913571,NA,NA,NA,NA
"a * a",NA,1137.75766,NA,NA,NA,NA
"a + a",NA,10.27539383,NA,NA,NA,NA
"a - a",NA,NA,NA,NA,NA,NA
"a - a",NA,NA,NA,NA,NA,NA
"a",1.72,1.763945358,NA,NA,NA,0.224881187
"a",0.285,0.279033736,NA,NA,NA,0.055212857
"a / a",NA,0.649579702,NA,NA,NA,NA
"a / a",NA,-0.154550048,NA,0.058593571,0.046317817,NA
"a * a",NA,4.138610184,-1.704563318,NA,NA,1.816329545
"a + a",NA,2.059035812,NA,NA,NA,0.405881954
"a - a",NA,1.477489918,NA,NA,NA,NA
"a - a",NA,-1.477489918,NA,NA,NA,NA
"a",2.07,2.180417603,NA,NA,NA,NA
"a",18.6,19.34173053,NA,NA,NA,NA
"a / a",NA,-0.028476878,-0.099698156,-0.033816529,NA,0.056218526
"a / a",NA,0.687108279,2.7332806,1.004918829,NA,-1.567101431
"a * a",NA,363.0341463,NA,34.30891763,NA,NA
"a + a",NA,21.5856883,NA,NA,NA,NA
"a - a",NA,-17.09274812,NA,NA,NA,NA
"a - a",NA,17.09274812,NA,NA,NA,NA
"a",0.01547619,0.015513415,NA,NA,NA,NA
"a",14.085,14.1158498,NA,NA,NA,NA
"a / a",NA,0.00022306,NA,-4.4e-05,NA,NA
"a / a",NA,4508.903657,-332463.4195,-145005.9973,29145.29116,221851.1345
"a * a",NA,1.126559305,NA,0.2226248,NA,NA
"a + a",NA,14.1313659,NA,NA,NA,NA
"a - a",NA,-14.10033369,NA,NA,NA,NA
"a - a",NA,14.10033369,NA,NA,NA,NA
"a",14.1,14.12628223,NA,-0.648038047,NA,NA
"a",19.16666666,19.62956921,NA,NA,NA,NA
"a / a",NA,0.579752234,NA,-0.471602493,NA,NA
"a / a",NA,1.026197144,NA,-2.19895822,-2.960505779,NA
"a * a",NA,422.053949,NA,260.7121417,NA,NA
"a + a",NA,33.7387387,NA,NA,NA,NA
"a - a",NA,-5.494064077,NA,NA,NA,NA
"a - a",NA,5.494064077,NA,NA,NA,NA
"a",495,501.2961992,NA,NA,NA,NA
"a",18.55,19.73238647,NA,NA,NA,NA
"a / a",NA,1.699974185,NA,NA,NA,NA
"a / a",NA,-0.005008705,NA,NA,NA,NA
"a * a",NA,62515.316,NA,6110.894618,NA,NA
"a + a",NA,521.0530689,NA,NA,NA,NA
"a - a",NA,481.5150768,NA,NA,NA,NA
"a - a",NA,-481.5150768,NA,NA,NA,NA
"a",76.5,76.85154387,NA,NA,NA,NA
"a",23.4,25.36232427,NA,NA,NA,NA
"a / a",NA,0.521399491,NA,-0.105262739,NA,NA
"a / a",NA,2.169490043,NA,-5.215993506,-6.002320283,NA
"a * a",NA,11608.67415,NA,2347.08952,NA,NA
"a + a",NA,102.3880954,NA,NA,NA,NA
"a - a",NA,51.59644529,NA,NA,NA,-5.863377078
"a - a",NA,-51.59644529,NA,NA,NA,5.863377078
"a",1.1,1.135994234,0.238959929,NA,NA,NA
"a",1.5,1.493939897,NA,NA,NA,NA
"a / a",NA,NA,NA,NA,NA,NA
"a / a",NA,NA,NA,NA,NA,NA
"a * a",NA,18.35751233,NA,NA,NA,2.413793725
"a + a",NA,2.61484051,NA,NA,NA,NA
"a - a",NA,-0.353076865,NA,NA,NA,NA
"a - a",NA,0.353076865,NA,NA,NA,NA
"a",3.83,4.042958692,NA,NA,NA,NA
"a",3.03,3.197848,NA,NA,NA,NA
"a / a",NA,-0.153046967,NA,NA,NA,NA
"a / a",NA,0.032968696,NA,NA,NA,NA
"a * a",NA,194.6031963,NA,NA,NA,NA
"a + a",NA,7.247540255,NA,NA,NA,NA
"a - a",NA,0.569292792,NA,NA,NA,NA
"a - a",NA,-0.569292792,NA,NA,NA,NA
"a",4.04,3.795171029,NA,NA,NA,NA
"a",2.415,2.36828142,NA,NA,NA,NA
"a / a",NA,-0.10572844,NA,NA,NA,NA
"a / a",NA,0.020529232,NA,NA,NA,NA
"a * a",NA,125.6127261,NA,29.20220246,NA,NA
"a + a",NA,6.21518547,NA,NA,NA,NA
"a - a",NA,0.840994375,NA,NA,NA,NA
"a - a",NA,-0.840994375,NA,NA,NA,NA
"a",17.835,17.95058356,NA,NA,NA,NA
"a",0.04,0.037182402,NA,-0.038576444,NA,NA
"a / a",NA,-18.58318383,NA,NA,NA,NA
"a / a",NA,0.004871476,NA,NA,NA,NA
"a * a",NA,-16.85293852,-10.44794516,-10.73546952,NA,NA
"a + a",NA,17.99454927,NA,NA,NA,NA
"a - a",NA,17.90660053,NA,NA,NA,NA
"a - a",NA,-17.90660053,NA,NA,NA,NA
"a",412.5,414.2487119,NA,NA,NA,NA
"a",3.4875,3.364556546,NA,NA,NA,NA
"a / a",NA,11.89223982,NA,NA,-9.236711874,NA
"a / a",NA,-0.001519521,NA,NA,NA,NA
"a * a",NA,8317.749169,-2407.570241,NA,NA,NA
"a + a",NA,417.6159583,NA,NA,NA,NA
"a - a",NA,410.8840917,NA,NA,NA,NA
"a - a",NA,-410.8840917,NA,NA,NA,NA
"a",1.285,1.307899286,NA,NA,NA,NA
"a",0.04,0.030064204,NA,NA,NA,NA
"a / a",NA,1.207902854,NA,NA,NA,NA
"a / a",NA,-0.002954763,NA,NA,NA,NA
"a * a",NA,1.103028209,NA,NA,NA,NA
"a + a",NA,1.338829164,NA,NA,NA,NA
"a - a",NA,1.27691168,NA,NA,NA,NA
"a - a",NA,-1.27691168,NA,NA,NA,NA
"a",3.8125,3.774456735,NA,NA,NA,NA
"a",8.65,8.594901229,NA,NA,NA,NA
"a / a",NA,1.635634191,21.55304219,4.871473992,-10.18439596,-14.32574742
"a / a",NA,0.784584541,0.268831431,-0.231495886,-0.218185034,-0.186023481
"a * a",NA,103.5185729,NA,31.12251039,NA,NA
"a + a",NA,12.39227147,NA,NA,NA,NA
"a - a",NA,-4.816619503,NA,NA,NA,NA
"a - a",NA,4.816619503,NA,NA,NA,NA
"a",0.8285,0.807091708,NA,NA,NA,NA
"a",2.3,2.450094551,NA,NA,NA,NA
"a / a",NA,0.014664496,NA,NA,NA,NA
"a / a",NA,-42.99599505,NA,23.96801881,17.06916389,NA
"a * a",NA,45.27951245,NA,NA,NA,NA
"a + a",NA,3.257766526,NA,NA,NA,NA
"a - a",NA,-1.407536148,NA,NA,NA,NA
"a - a",NA,1.407536148,NA,NA,NA,NA
"a",0.105,0.102425931,-0.334210776,-0.149453583,NA,0.203914774
"a",0.026,0.028885883,NA,NA,NA,NA
"a / a",NA,0.044387681,NA,NA,NA,NA
"a / a",NA,-0.270006837,NA,NA,NA,NA
"a * a",NA,0.226091766,NA,NA,NA,NA
"a + a",NA,0.14317176,NA,NA,NA,NA
"a - a",NA,0.04132342,NA,NA,NA,NA
"a - a",NA,-0.04132342,NA,NA,NA,NA
"a",10.31,9.852325574,NA,NA,NA,NA
"a",0.685,0.681676344,NA,NA,NA,NA
"a / a",NA,0.588509017,NA,NA,NA,NA
"a / a",NA,-0.005051439,NA,NA,NA,NA
"a * a",NA,48.58929242,NA,7.522949625,NA,NA
"a + a",NA,10.53260569,NA,NA,NA,NA
"a - a",NA,9.172887349,NA,NA,NA,NA
"a - a",NA,-9.172887349,NA,NA,NA,NA
"a",1.14,1.156514652,NA,NA,NA,NA
"a",0.07,0.083262471,NA,NA,NA,NA
"a / a",NA,-0.649203136,NA,NA,0.206897393,NA
"a / a",NA,0.077896514,NA,NA,NA,NA
"a * a",NA,-2.088049324,NA,NA,NA,NA
"a + a",NA,1.266888195,NA,NA,-0.415874337,NA
"a - a",NA,1.056970844,NA,NA,NA,NA
"a - a",NA,-1.056970844,NA,NA,NA,NA
