trait,beta,a,d,aa,ad,dd
a,0.14555,0.14541903,NA,NA,NA,NA
aa,490,NA,NA,459.8561864,NA,NA
a / aa,NA,0.000208793,0.002695229,NA,0.000622904,0.000912732
aa / a,NA,-87.89392569,NA,472.0023888,79.79726193,NA
a * aa,NA,78.47778087,NA,510.4764383,-39.99421695,NA
a + aa,NA,NA,NA,459.7369511,NA,NA
a - aa,NA,NA,NA,-460.0722036,NA,NA
aa - a,NA,NA,NA,460.0722036,NA,NA
a,29.85,31.83741752,NA,NA,NA,NA
dd,20.5,NA,NA,NA,NA,18.71696248
a / dd,NA,0.842367185,NA,NA,NA,-0.914021664
dd / a,NA,-0.064628702,NA,NA,NA,0.128103283
a * dd,NA,1161.845671,NA,NA,NA,2548.671901
a + dd,NA,31.6465424,NA,NA,NA,22.77268772
a - dd,NA,31.42152302,NA,NA,NA,-16.61346756
dd - a,NA,-31.42152302,NA,NA,NA,16.61346756
a,38.85,39.42936915,NA,NA,NA,NA
ad,2.576,NA,NA,NA,3.01028776,NA
a / ad,NA,3.995189315,NA,NA,-2.792043133,NA
ad / a,NA,-0.088844578,NA,0.044031418,0.0864629,0.029757597
a * ad,NA,407.9069697,NA,NA,141.1337867,NA
a + ad,NA,39.76420043,NA,NA,NA,NA
a - ad,NA,39.70599353,NA,NA,-5.277014302,NA
ad - a,NA,-39.70599353,NA,NA,5.277014302,NA
a,0.097,0.095088355,NA,NA,0.020816083,NA
dd,1.375,NA,NA,NA,NA,1.217990641
a / dd,NA,0.01844532,-0.00842071,NA,NA,NA
dd / a,NA,-7.69877161,NA,NA,NA,3.871238597
a * dd,NA,0.493796262,NA,NA,0.211091555,0.302811576
a + dd,NA,NA,NA,NA,NA,1.255016969
a - dd,NA,NA,NA,NA,NA,-1.228191681
dd - a,NA,NA,NA,NA,NA,1.228191681
a,0.045,0.050496209,NA,NA,NA,NA
dd,2.291666673,NA,NA,NA,NA,2.00920377
a / dd,NA,NA,0.513689747,NA,NA,NA
dd / a,NA,-0.037247071,NA,NA,NA,-1.926874966
a * dd,NA,NA,NA,NA,NA,-2.245877819
a + dd,NA,0.04680345,NA,NA,NA,2.209327287
a - dd,NA,NA,NA,NA,NA,-1.956554218
dd - a,NA,NA,NA,NA,NA,1.956554218
a,0.225,0.223500841,NA,-0.003817124,NA,NA
aa,97.53,NA,NA,88.28913375,NA,NA
a / aa,NA,0.000748107,NA,-0.000245464,0.000512874,NA
aa / a,NA,2367.556967,NA,-9491.751394,-18882.49651,-8524.222076
a * aa,NA,66.80771274,NA,12.94986212,-32.14299483,NA
a + aa,NA,NA,NA,88.23396262,NA,NA
a - aa,NA,NA,NA,-88.35591251,NA,NA
aa - a,NA,NA,NA,88.35591251,NA,NA
a,0.2573,0.251643826,NA,NA,NA,NA
dd,1.2,NA,NA,NA,NA,NA
a / dd,NA,0.010312732,NA,NA,NA,NA
dd / a,NA,-17.70227261,NA,NA,NA,NA
a * dd,NA,6.042767283,NA,NA,NA,1.415434071
a + dd,NA,0.624983603,NA,NA,NA,1.108058749
a - dd,NA,NA,NA,NA,NA,NA
dd - a,NA,NA,NA,NA,NA,NA
a,0.276,0.252816568,NA,NA,NA,NA
ad,6.6,NA,NA,NA,7.067429835,NA
a / ad,NA,0.019664143,NA,NA,-0.028205017,NA
ad / a,NA,-6.917002173,NA,1.83607894,9.622041608,NA
a * ad,NA,2.985397409,NA,NA,5.299836818,NA
a + ad,NA,NA,NA,NA,7.562561731,NA
a - ad,NA,NA,NA,NA,-6.602958053,NA
ad - a,NA,NA,NA,NA,6.602958053,NA
a,6.875,6.523074702,NA,NA,NA,NA
dd,10.67,NA,NA,NA,NA,8.197788789
a / dd,NA,0.221841559,NA,NA,NA,-0.244656188
dd / a,NA,-0.094351509,NA,NA,NA,0.265067241
a * dd,NA,178.5453634,NA,NA,NA,233.8850369
a + dd,NA,6.734769768,6.31436188,NA,NA,NA
a - dd,NA,6.177628024,NA,NA,NA,-11.49281348
dd - a,NA,-6.177628024,NA,NA,NA,11.49281348
a,0.76,0.752784906,NA,NA,NA,NA
ad,0.59,NA,NA,NA,0.585527687,NA
a / ad,NA,0.959411704,NA,NA,-1.175820947,NA
ad / a,NA,-0.496482182,NA,0.267816002,0.695339824,NA
a * ad,NA,0.578106842,NA,-0.118469472,0.818897984,-0.135764986
a + ad,NA,0.741178821,NA,NA,0.651201209,NA
a - ad,NA,0.75144579,NA,NA,-0.540866644,NA
ad - a,NA,-0.75144579,NA,NA,0.540866644,NA
a,18.55,18.62145333,NA,NA,NA,NA
ad,8.6,NA,NA,NA,8.683950356,NA
a / ad,NA,11.83061952,NA,235.9973401,371.6970847,235.3568353
ad / a,NA,-0.007814806,NA,0.009516107,0.127407757,0.009138239
a * ad,NA,29.88445325,NA,NA,589.7605817,NA
a + ad,NA,19.15583276,NA,NA,NA,NA
a - ad,NA,17.96180876,NA,NA,NA,NA
ad - a,NA,-17.96180876,NA,NA,NA,NA
a,0.925,1.048104418,NA,NA,-0.529472795,NA
dd,78.35,NA,NA,NA,NA,73.4043551
a / dd,NA,0.0276293,-0.205535937,NA,-0.029961343,NA
dd / a,NA,-0.311591363,NA,NA,NA,6.474299011
a * dd,NA,41.12406648,NA,NA,NA,868.5820309
a + dd,NA,0.659759221,NA,NA,NA,74.96100958
a - dd,NA,NA,NA,NA,NA,-75.68233155
dd - a,NA,NA,NA,NA,NA,75.68233155
a,12.6,12.9490943,NA,NA,NA,NA
ad,4.22,NA,NA,NA,4.402048327,NA
a / ad,NA,1.807967696,NA,NA,-2.607955053,NA
ad / a,NA,-0.119368028,NA,0.057705962,0.159457109,NA
a * ad,NA,93.48549678,NA,NA,128.7767152,NA
a + ad,NA,12.84731262,NA,NA,4.859265081,NA
a - ad,NA,12.87841644,NA,NA,-3.25884337,NA
ad - a,NA,-12.87841644,NA,NA,3.25884337,NA
a,14.97,14.36923096,NA,NA,NA,NA
aa,5.69,NA,NA,6.800887035,NA,NA
a / aa,NA,0.244197493,NA,-0.082719993,NA,NA
aa / a,NA,-0.516490688,NA,0.294609632,0.200221517,NA
a * aa,NA,864.1594444,NA,342.0688168,-157.5877919,NA
a + aa,NA,14.2091398,NA,7.829536672,NA,5.526665525
a - aa,NA,14.48533784,NA,-6.279956841,NA,NA
aa - a,NA,-14.48533784,NA,6.279956841,NA,NA
a,1.2,1.147149787,NA,NA,NA,NA
aa,1.37,NA,NA,0.819292013,NA,NA
a / aa,NA,0.314643208,1.186343669,NA,NA,NA
aa / a,NA,-0.028987047,NA,0.104581881,NA,NA
a * aa,NA,4.299382275,NA,15.66269126,NA,NA
a + aa,NA,1.189824799,NA,1.161249497,NA,NA
a - aa,NA,1.204811996,NA,-0.677647977,NA,NA
aa - a,NA,-1.204811996,NA,0.677647977,NA,NA
a,18.25,18.41046184,NA,NA,NA,NA
dd,17.6,NA,NA,NA,NA,11.74837406
a / dd,NA,0.830430221,-2.257301587,NA,NA,-1.156195655
dd / a,NA,-0.020792838,NA,NA,NA,0.123637676
a * dd,NA,391.1803862,NA,NA,NA,1356.325084
a + dd,NA,18.27696565,NA,NA,NA,9.140225498
a - dd,NA,18.58078238,NA,NA,NA,-20.24657789
dd - a,NA,-18.58078238,NA,NA,NA,20.24657789
a,2.615,2.64649737,NA,NA,NA,NA
ad,64.2,NA,NA,NA,64.72226176,NA
a / ad,NA,0.018741309,NA,NA,-0.023608714,NA
ad / a,NA,-10.47554822,NA,5.003113366,14.11262007,NA
a * ad,NA,398.3264559,NA,NA,326.4778847,NA
a + ad,NA,NA,NA,NA,67.53070186,NA
a - ad,NA,NA,NA,NA,-60.37004125,NA
ad - a,NA,NA,NA,NA,60.37004125,NA
a,0.85714286,0.824541785,NA,NA,NA,0.098781362
dd,8.9,-1.344769256,NA,NA,NA,10.6221849
a / dd,NA,0.018423868,-0.008512408,NA,NA,NA
dd / a,NA,-5.291989021,NA,NA,NA,1.555994191
a * dd,NA,35.8346201,NA,NA,NA,40.59604482
a + dd,NA,NA,NA,NA,NA,10.66665834
a - dd,NA,2.155252149,NA,NA,NA,-10.46068097
dd - a,NA,-2.155252149,NA,NA,NA,10.46068097
a,0.175,NA,NA,NA,NA,NA
ad,2.18,NA,NA,NA,2.221633919,NA
a / ad,NA,NA,NA,NA,-0.453472069,NA
ad / a,NA,NA,NA,NA,0.4138655,NA
a * ad,NA,NA,NA,NA,13.64909778,NA
a + ad,NA,NA,NA,NA,2.032962916,NA
a - ad,NA,NA,NA,NA,-2.692759174,NA
ad - a,NA,NA,NA,NA,2.692759174,NA
a,5.275,4.575439585,NA,NA,NA,NA
ad,1.256,NA,0.242755008,NA,1.21355588,NA
a / ad,NA,0.615834839,NA,NA,NA,-0.301380024
ad / a,NA,-0.010529879,NA,NA,NA,0.004373488
a * ad,NA,26.82180286,NA,NA,58.00880249,NA
a + ad,NA,4.753080775,NA,NA,NA,NA
a - ad,NA,4.378244042,NA,NA,NA,NA
ad - a,NA,-4.378244042,NA,NA,NA,NA
a,0.16,0.163276709,NA,NA,NA,NA
ad,15,NA,NA,NA,14.76519191,NA
a / ad,NA,0.01579589,NA,-0.031364637,-0.214382298,-0.031214347
ad / a,NA,-0.951480521,NA,NA,11.71743918,NA
a * ad,NA,1.53709177,NA,NA,18.7677698,NA
a + ad,NA,NA,NA,NA,15.06338859,NA
a - ad,NA,NA,NA,NA,-14.51746484,NA
ad - a,NA,NA,NA,NA,14.51746484,NA
a,0.25375,0.261489436,NA,NA,NA,NA
aa,1.66,0.343184915,NA,1.476155575,NA,NA
a / aa,NA,0.019425722,NA,-0.005573635,NA,NA
aa / a,NA,-15.96762947,NA,10.84038515,8.048914034,NA
a * aa,NA,3.492198142,NA,NA,NA,NA
a + aa,NA,0.609817481,NA,1.462530241,NA,NA
a - aa,NA,NA,NA,-1.396849146,NA,NA
aa - a,NA,NA,NA,1.396849146,NA,NA
a,0.1495,0.065383722,NA,NA,0.195672226,NA
aa,1.174,NA,NA,1.135623935,NA,NA
a / aa,NA,NA,0.833548644,-0.510581638,0.247624141,NA
aa / a,NA,-0.024511672,NA,0.399248661,NA,NA
a * aa,NA,NA,NA,3.478824185,NA,NA
a + aa,NA,0.069176131,NA,1.257548125,NA,NA
a - aa,NA,NA,NA,-1.106127878,0.328710021,NA
aa - a,NA,NA,NA,1.106127878,-0.328710021,NA
a,3.405,4.442123424,NA,NA,NA,NA
aa,64,NA,NA,60.51617655,NA,NA
a / aa,NA,0.021777624,NA,-0.384902048,NA,NA
aa / a,NA,-0.047174732,NA,0.405060856,NA,NA
a * aa,NA,727.3855922,NA,8940.013829,NA,NA
a + aa,NA,3.148810156,NA,59.7481007,NA,NA
a - aa,NA,5.118603499,NA,-67.61365109,NA,NA
aa - a,NA,-5.118603499,NA,67.61365109,NA,NA
a,4.26,4.175991587,NA,NA,NA,NA
aa,1.8,NA,NA,1.679272015,0.310234219,NA
a / aa,NA,0.452315306,NA,-0.145333898,0.122144682,NA
aa / a,NA,-4.663316811,NA,4.271519657,6.569557632,NA
a * aa,NA,38.10209395,-6.780624351,3.566754185,-7.301736159,NA
a + aa,NA,4.23234751,-1.186717842,0.857230965,0.413052796,NA
a - aa,NA,4.028210209,NA,-1.831272002,NA,NA
aa - a,NA,-4.028210209,NA,1.831272002,NA,NA
a,0.01,NA,NA,NA,NA,NA
ad,49.86,NA,NA,NA,54.06838012,NA
a / ad,NA,NA,NA,-0.037678114,-0.23608024,-0.041692525
ad / a,NA,NA,NA,NA,2.755503278,0.126056658
a * ad,NA,NA,NA,NA,1108.945502,NA
a + ad,NA,NA,NA,NA,54.8864522,NA
a - ad,NA,NA,NA,NA,-53.98345706,-1.915590451
ad - a,NA,NA,NA,NA,53.98345706,1.915590451
a,10.25,10.59661846,NA,NA,NA,NA
dd,0.42,NA,NA,NA,NA,0.406261425
a / dd,NA,7.875834587,NA,NA,NA,-5.602596489
dd / a,NA,-0.014317563,NA,NA,NA,0.010542795
a * dd,NA,14.58182138,NA,NA,NA,13.07365834
a + dd,NA,10.58658219,NA,NA,NA,NA
a - dd,NA,10.60357228,NA,NA,NA,NA
dd - a,NA,-10.60357228,NA,NA,NA,NA
a,55,52.07453501,NA,NA,NA,NA
aa,0.097,NA,NA,0.097255332,NA,NA
a / aa,NA,NA,NA,NA,NA,NA
aa / a,NA,NA,NA,NA,NA,NA
a * aa,NA,103.4579043,NA,NA,NA,NA
a + aa,NA,52.10438329,NA,NA,NA,NA
a - aa,NA,52.04465759,NA,NA,NA,NA
aa - a,NA,-52.04465759,NA,NA,NA,NA
a,1,1.077098556,NA,NA,NA,NA
ad,8.82,NA,NA,NA,9.0220227,NA
a / ad,NA,0.140874916,NA,NA,-0.631854179,NA
ad / a,NA,-0.460617469,NA,NA,2.188334954,NA
a * ad,NA,9.360150453,NA,NA,33.94784853,NA
a + ad,NA,1.176742515,NA,NA,8.667774415,NA
a - ad,NA,1.006580225,NA,NA,-9.088109681,NA
ad - a,NA,-1.006580225,NA,NA,9.088109681,NA
a,0.12,0.131314616,NA,NA,NA,NA
aa,0.248,NA,-0.150807309,NA,NA,NA
a / aa,NA,0.036667599,NA,NA,NA,NA
aa / a,NA,NA,NA,NA,NA,NA
a * aa,NA,0.33970846,NA,NA,NA,-0.247053549
a + aa,NA,0.129546665,-0.209585334,NA,NA,NA
a - aa,NA,NA,NA,NA,NA,NA
aa - a,NA,NA,NA,NA,NA,NA
a,2.1055,2.240164931,NA,NA,NA,NA
dd,3.9,NA,NA,NA,NA,3.496672064
a / dd,NA,0.363689155,NA,NA,NA,-0.784336928
dd / a,NA,-0.055303623,NA,NA,NA,0.259075416
a * dd,NA,11.77221051,NA,NA,11.04310016,33.56395736
a + dd,NA,2.277561816,2.584230095,NA,NA,2.098039915
a - dd,NA,2.203308461,NA,NA,NA,-3.688521763
dd - a,NA,-2.203308461,NA,NA,NA,3.688521763
a,31.55,33.46988246,NA,NA,NA,NA
ad,1.927260954,NA,NA,NA,1.929228954,NA
a / ad,NA,128.7684033,NA,2851.601693,2808.101117,2830.403756
ad / a,NA,-0.000114026,NA,0.000264593,0.007186726,0.000281014
a * ad,NA,NA,NA,NA,522.4086837,NA
a + ad,NA,33.67393558,NA,NA,NA,NA
a - ad,NA,33.24826912,NA,NA,NA,NA
ad - a,NA,-33.24826912,NA,NA,NA,NA
a,13.4,11.45421271,NA,NA,NA,NA
aa,22.3,NA,NA,19.48829137,NA,NA
a / aa,NA,0.309384449,2.218450555,NA,NA,NA
aa / a,NA,-0.043439293,NA,0.228389659,0.021271477,NA
a * aa,NA,432.3464609,NA,2211.922121,-254.1434359,NA
a + aa,NA,11.31133602,NA,20.40864951,NA,NA
a - aa,NA,11.47683771,NA,-22.03454886,NA,NA
aa - a,NA,-11.47683771,NA,22.03454886,NA,NA
a,2.075,2.306938597,NA,NA,NA,NA
dd,2.42,NA,NA,NA,NA,2.137297692
a / dd,NA,0.654698757,-2.263135164,NA,-0.392612002,-1.215867554
dd / a,NA,-0.01310739,NA,NA,NA,0.105777938
a * dd,NA,7.962597815,NA,NA,NA,51.59545074
a + dd,NA,2.302180677,NA,NA,NA,2.282580889
a - dd,NA,2.192820094,NA,NA,NA,-1.754270009
dd - a,NA,-2.192820094,NA,NA,NA,1.754270009
a,0.073627519,0.073755278,NA,NA,NA,NA
ad,1.022273334,0.002177791,NA,NA,1.016571356,-0.002125508
a / ad,NA,0.760650873,NA,NA,-1.512408115,NA
ad / a,NA,1.369762945,NA,-8.795955938,-3.222192388,-6.544894957
a * ad,NA,0.007214999,NA,-0.018693692,0.01478997,-0.018748762
a + ad,NA,0.076013498,NA,NA,1.016735461,-0.002109969
a - ad,NA,0.071408358,NA,NA,-1.015972265,0.001986827
ad - a,NA,-0.071408358,NA,NA,1.015972265,-0.001986827
a,12.6,12.6276307,NA,NA,NA,-0.662178461
ad,0.4,NA,NA,NA,0.386689213,NA
a / ad,NA,11.99522016,NA,NA,-9.26606061,NA
ad / a,NA,-0.014865644,NA,0.006315877,0.014044205,NA
a * ad,NA,13.58795457,NA,NA,9.438130661,-1.995161998
a + ad,NA,12.67022278,NA,NA,NA,-0.659904405
a - ad,NA,12.57356677,NA,NA,NA,-0.671623784
ad - a,NA,-12.57356677,NA,NA,NA,0.671623784
a,14.1,13.98419367,NA,NA,NA,NA
aa,360,NA,NA,340.7429034,NA,NA
a / aa,NA,0.00817332,NA,-0.000843381,0.003025889,NA
aa / a,NA,169.0003553,NA,NA,NA,110.4867321
a * aa,NA,23745.39622,-1043.472017,NA,-5772.076768,NA
a + aa,NA,NA,NA,340.3830134,NA,NA
a - aa,NA,NA,NA,-339.537723,NA,NA
aa - a,NA,NA,NA,339.537723,NA,NA
a,0.745,0.762797211,NA,NA,NA,NA
ad,0.16,NA,NA,NA,0.169205937,NA
a / ad,NA,0.715091187,0.291456963,NA,-2.018002974,NA
ad / a,NA,-0.007083028,NA,0.004916805,0.020305229,NA
a * ad,NA,1.104646387,NA,NA,NA,NA
a + ad,NA,0.79147592,NA,NA,NA,NA
a - ad,NA,0.734865689,NA,NA,NA,NA
ad - a,NA,-0.734865689,NA,NA,NA,NA
a,148.35,160.7450262,NA,NA,NA,NA
ad,40,1.124802659,NA,NA,35.87044838,NA
a / ad,NA,2.258203996,NA,-0.714262022,-8.955274162,NA
ad / a,NA,-0.009609878,NA,0.00440394,0.036771138,NA
a * ad,NA,11262.81334,NA,NA,33873.6418,NA
a + ad,NA,164.5392693,NA,NA,NA,NA
a - ad,NA,155.350097,NA,NA,NA,NA
ad - a,NA,-155.350097,NA,NA,NA,NA
a,4.73,4.799621436,NA,NA,NA,NA
aa,1.89,1.739625975,NA,NA,NA,NA
a / aa,NA,0.042140987,NA,NA,NA,NA
aa / a,NA,-0.395372934,NA,NA,NA,NA
a * aa,NA,525.8842986,NA,NA,NA,NA
a + aa,NA,7.055115524,NA,NA,NA,NA
a - aa,NA,2.276983541,NA,NA,NA,NA
aa - a,NA,-2.276983541,NA,NA,NA,NA
a,1.33,2.024854373,NA,NA,NA,0.442171636
ad,21.4,NA,NA,-0.209873219,21.84556296,NA
a / ad,NA,0.327294103,NA,-8.583866126,-24.18026042,-8.616402956
ad / a,NA,-0.023545554,NA,NA,0.838980231,NA
a * ad,NA,15.91858266,NA,-11.54503654,572.3273608,NA
a + ad,NA,2.148825727,NA,NA,20.43921947,0.715019602
a - ad,NA,2.162909956,NA,NA,-23.153786,NA
ad - a,NA,-2.162909956,NA,NA,23.153786,NA
a,0.125,0.280939528,NA,0.340730357,NA,0.362867722
dd,20,NA,NA,NA,NA,17.7379702
a / dd,NA,0.019539872,-0.441251003,NA,NA,NA
dd / a,NA,-0.019663255,NA,NA,NA,1.50940756
a * dd,NA,NA,NA,NA,NA,216.3707649
a + dd,NA,NA,NA,NA,NA,17.41749707
a - dd,NA,0.251141246,NA,NA,NA,-19.2819783
dd - a,NA,-0.251141246,NA,NA,NA,19.2819783
a,18.6,18.39537884,NA,NA,NA,NA
aa,0.388,NA,NA,0.225178717,NA,NA
a / aa,NA,5.667410162,1.812422418,NA,NA,NA
aa / a,NA,-0.017236237,-0.008938432,NA,NA,NA
a * aa,NA,59.80964994,NA,18.59312071,NA,NA
a + aa,NA,18.37694139,NA,NA,NA,NA
a - aa,NA,18.42877865,NA,NA,NA,NA
aa - a,NA,-18.42877865,NA,NA,NA,NA
a,16.6,16.41645561,NA,NA,NA,NA
dd,2.3,NA,NA,1.4866933,0.528419203,2.009445309
a / dd,NA,0.988324235,NA,-0.046755864,NA,-0.060019557
dd / a,NA,1.300552086,NA,NA,NA,1.435165384
a * dd,NA,274.1046575,NA,NA,NA,10.04099478
a + dd,NA,16.34704626,NA,NA,0.711582126,1.62733909
a - dd,NA,16.28051023,NA,-1.921610192,NA,-2.408942635
dd - a,NA,-16.28051023,NA,1.921610192,NA,2.408942635
a,3.425,2.771031934,NA,NA,NA,NA
ad,10.8,NA,NA,NA,16.46425702,NA
a / ad,NA,0.036713933,NA,NA,NA,NA
ad / a,NA,-0.138984337,NA,NA,NA,NA
a * ad,NA,166.7851942,NA,116.5577754,537.5827218,NA
a + ad,NA,1.525103786,NA,2.621369087,19.07805737,NA
a - ad,NA,NA,NA,NA,-10.50525797,NA
ad - a,NA,NA,NA,NA,10.50525797,NA
a,32.5,32.27114421,12.8674455,NA,-21.20091293,NA
dd,15.2,NA,NA,NA,NA,13.46782214
a / dd,NA,0.81387166,NA,NA,NA,-1.522880144
dd / a,NA,-0.018762184,NA,NA,NA,0.056735965
a * dd,NA,1096.396071,NA,NA,NA,3440.500842
a + dd,NA,31.519911,23.0119291,NA,-16.68231936,NA
a - dd,NA,31.7447461,NA,NA,-18.01716808,NA
dd - a,NA,-31.7447461,NA,NA,18.01716808,NA
a,86.5,85.61562539,NA,NA,NA,NA
ad,37.8,NA,NA,NA,38.50945744,NA
a / ad,NA,4.542889052,NA,NA,-89.98460846,NA
ad / a,NA,-0.00466261,NA,NA,0.071620208,NA
a * ad,NA,1532.037433,NA,NA,20320.38261,NA
a + ad,NA,92.28671647,NA,NA,NA,NA
a - ad,NA,80.3799601,NA,NA,NA,NA
ad - a,NA,-80.3799601,NA,NA,NA,NA
a,0.77,0.712750481,NA,NA,NA,NA
dd,0.23,NA,NA,NA,NA,0.30226565
a / dd,NA,0.393959637,NA,NA,NA,-0.127628504
dd / a,NA,-0.213531891,NA,NA,NA,NA
a * dd,NA,1.282874375,NA,NA,NA,0.901304286
a + dd,NA,0.703040232,NA,NA,NA,0.357927906
a - dd,NA,0.719197343,NA,NA,NA,NA
dd - a,NA,-0.719197343,NA,NA,NA,NA
a,60.565,62.89783974,NA,NA,NA,NA
ad,26.2,NA,NA,NA,27.09615165,NA
a / ad,NA,2.809581933,NA,NA,-7.054035093,NA
ad / a,NA,-0.111735819,NA,0.058396082,0.255082442,NA
a * ad,NA,1434.436505,NA,NA,3350.574134,NA
a + ad,NA,62.61293539,NA,NA,27.90434271,NA
a - ad,NA,62.96990995,NA,NA,-26.36612255,NA
ad - a,NA,-62.96990995,NA,NA,26.36612255,NA
a,5.185,5.028850586,NA,NA,NA,NA
dd,0.03125,NA,NA,NA,NA,0.028276181
a / dd,NA,110.8770593,NA,NA,NA,-248.9840459
dd / a,NA,-0.000168722,NA,NA,NA,0.000717675
a * dd,NA,0.236910011,NA,NA,NA,1.17843778
a + dd,NA,5.02710746,NA,NA,NA,NA
a - dd,NA,5.030654501,NA,NA,NA,NA
dd - a,NA,-5.030654501,NA,NA,NA,NA
a,1.81,1.776558564,NA,NA,NA,NA
ad,12,NA,NA,NA,10.64019488,NA
a / ad,NA,0.070204637,NA,NA,-0.255886598,NA
ad / a,NA,-0.2139009,NA,NA,0.715371739,NA
a * ad,NA,42.24716842,NA,NA,143.0086778,NA
a + ad,NA,1.87564938,NA,NA,10.77067265,NA
a - ad,NA,1.513777306,NA,NA,-10.00537442,NA
ad - a,NA,-1.513777306,NA,NA,10.00537442,NA
a,0.46075,0.717240829,NA,NA,NA,NA
aa,0.82,NA,NA,0.738044366,NA,NA
a / aa,NA,0.231670906,NA,-1.061643005,NA,NA
aa / a,NA,NA,NA,0.033275652,NA,NA
a * aa,NA,NA,NA,NA,NA,NA
a + aa,NA,NA,NA,NA,NA,NA
a - aa,NA,0.764043022,NA,NA,NA,NA
aa - a,NA,-0.764043022,NA,NA,NA,NA
a,26.895,27.52676339,NA,NA,NA,NA
dd,17.3,NA,NA,NA,NA,15.73639996
a / dd,NA,1.422681511,-3.231203589,NA,NA,-2.605025191
dd / a,NA,-0.013693091,NA,NA,NA,0.089815087
a * dd,NA,501.0390855,NA,NA,NA,2526.912594
a + dd,NA,27.74254651,20.87107454,NA,NA,NA
a - dd,NA,27.00815386,NA,NA,NA,NA
dd - a,NA,-27.00815386,NA,NA,NA,NA
a,2.48,3.239776793,NA,NA,NA,NA
dd,61.723,NA,NA,NA,NA,53.55051776
a / dd,NA,0.063941226,-0.355083558,NA,NA,NA
dd / a,NA,-0.108960488,NA,NA,NA,1.037956628
a * dd,NA,142.7598868,NA,NA,NA,2717.515418
a + dd,NA,2.36705186,NA,NA,NA,57.45831437
a - dd,NA,4.075403247,NA,NA,NA,-48.44048829
dd - a,NA,-4.075403247,NA,NA,NA,48.44048829
a,9.583333335,9.151115504,NA,NA,NA,NA
ad,56.4,NA,NA,NA,56.46290068,NA
a / ad,NA,1.367412897,NA,7.607600608,4.834089336,7.592921091
ad / a,NA,-0.126151,NA,NA,2.665138074,NA
a * ad,NA,63.90546866,NA,-130.8279058,1248.568889,-132.5464663
a + ad,NA,9.261758887,NA,NA,55.38378875,NA
a - ad,NA,9.379271475,NA,NA,-57.7315444,NA
ad - a,NA,-9.379271475,NA,NA,57.7315444,NA
a,3.895,3.962156153,NA,NA,NA,NA
aa,1.912,NA,NA,1.7535344,NA,NA
a / aa,NA,2.028128562,NA,119.3021102,11.6669009,173.0874811
aa / a,NA,-0.706975247,NA,0.842560282,1.231774997,NA
a * aa,NA,7.673865882,NA,10.11189999,-11.25099758,NA
a + aa,NA,3.95938456,NA,1.907342686,NA,NA
a - aa,NA,3.959225765,NA,-1.845447601,NA,NA
aa - a,NA,-3.959225765,NA,1.845447601,NA,NA
a,0.7,1.026668339,NA,NA,NA,NA
ad,6,NA,NA,NA,8.387049735,NA
a / ad,NA,NA,NA,NA,-0.133573313,NA
ad / a,NA,-0.087253554,-0.075648503,NA,0.507695803,NA
a * ad,NA,54.88292397,NA,NA,NA,NA
a + ad,NA,NA,NA,NA,7.562976799,NA
a - ad,NA,NA,NA,NA,-7.577858504,NA
ad - a,NA,NA,NA,NA,7.577858504,NA
a,29.45904762,29.65321285,NA,NA,NA,NA
aa,18,NA,NA,15.26125213,NA,NA
a / aa,NA,0.502129175,NA,-0.257261347,0.333898733,NA
aa / a,NA,-1.002010018,NA,NA,NA,NA
a * aa,NA,1713.122404,NA,598.766569,-641.3473703,NA
a + aa,NA,29.58791613,NA,15.12645247,NA,NA
a - aa,NA,29.63755994,NA,-17.02395298,NA,NA
aa - a,NA,-29.63755994,NA,17.02395298,NA,NA
a,4,3.45257956,NA,NA,1.869064552,NA
aa,2.6,NA,NA,1.862985443,NA,NA
a / aa,NA,0.237542294,NA,-0.280048816,NA,NA
aa / a,NA,-0.131792652,NA,0.151367914,NA,NA
a * aa,NA,56.47726446,-37.32990041,NA,NA,NA
a + aa,NA,3.728109728,-2.020137559,NA,NA,NA
a - aa,NA,3.496903686,NA,-2.74199853,1.201226151,NA
aa - a,NA,-3.496903686,NA,2.74199853,-1.201226151,NA
a,0.1005,0.083398294,NA,NA,NA,NA
ad,34.28,NA,NA,NA,34.53314159,NA
a / ad,NA,NA,NA,NA,-0.045081787,NA
ad / a,NA,NA,NA,NA,20.4709548,NA
a * ad,NA,3.397495814,NA,NA,52.06499579,NA
a + ad,NA,NA,NA,NA,34.56772856,NA
a - ad,NA,NA,NA,NA,-34.43299233,NA
ad - a,NA,NA,NA,NA,34.43299233,NA
a,10.45,12.79724991,NA,NA,NA,NA
aa,0.32,0.001867625,NA,0.29340617,NA,NA
a / aa,NA,24.2943173,826.9089736,NA,NA,NA
aa / a,NA,-8.20E-05,NA,0.001365117,NA,NA
a * aa,NA,5.800421258,NA,75.19391089,NA,NA
a + aa,NA,12.797413,NA,NA,NA,NA
a - aa,NA,12.79711274,NA,NA,NA,NA
aa - a,NA,-12.79711274,NA,NA,NA,NA
a,10.4,10.34571662,NA,NA,NA,NA
dd,3.71,0.72462621,NA,NA,NA,3.483985432
a / dd,NA,0.290163377,NA,NA,NA,NA
dd / a,NA,-0.239783537,NA,NA,NA,NA
a * dd,NA,363.5767854,NA,NA,NA,158.9107102
a + dd,NA,11.20782091,NA,NA,NA,4.44010366
a - dd,NA,9.487472768,NA,NA,NA,NA
