trait,beta,a,d,aa,ad,dd
a + a,NA,10.4194161,NA,NA,NA,NA
a - a,NA,NA,NA,NA,NA,-3.232239747
a - a,NA,NA,NA,NA,NA,3.232239747
a,1.72,1.694574404,NA,NA,NA,NA
a,0.285,0.271358079,NA,NA,NA,0.061291784
a / a,NA,0.630833073,NA,NA,NA,NA
a / a,NA,-0.149206185,NA,0.046863855,0.045129676,NA
a * a,NA,3.959690379,NA,NA,NA,NA
a + a,NA,1.971656917,NA,NA,NA,0.152184524
a - a,NA,1.432962911,NA,NA,NA,NA
a - a,NA,-1.432962911,NA,NA,NA,NA
a,2.07,2.244470228,NA,NA,-0.538620071,NA
a,18.6,18.95479365,NA,NA,NA,NA
a / a,NA,-0.030072004,NA,NA,NA,NA
a / a,NA,0.698896705,NA,NA,NA,NA
a * a,NA,349.9996387,NA,NA,NA,NA
a + a,NA,21.0709037,NA,NA,NA,NA
a - a,NA,-16.82870049,NA,NA,NA,NA
a - a,NA,16.82870049,NA,NA,NA,NA
a,0.01547619,0.015488466,NA,NA,-0.000193581,NA
a,14.085,14.47835421,NA,NA,NA,NA
a / a,NA,0.000224828,NA,-4.55E-05,-1.81E-05,NA
a / a,NA,4508.903657,NA,32663.71073,29573.34311,44128.28151
a * a,NA,1.118850023,NA,0.208095827,NA,NA
a + a,NA,14.49379263,NA,NA,NA,NA
a - a,NA,-14.46291579,NA,NA,NA,NA
a - a,NA,14.46291579,NA,NA,NA,NA
a,14.1,14.09006422,NA,NA,NA,NA
a,19.16666666,19.57305612,NA,NA,NA,NA
a / a,NA,0.300339197,NA,NA,NA,NA
a / a,NA,1.026205144,NA,NA,NA,NA
a * a,NA,422.221343,NA,251.7962044,NA,NA
a + a,NA,33.7488533,NA,NA,NA,NA
a - a,NA,-5.347978604,NA,NA,NA,NA
a - a,NA,5.347978604,NA,NA,NA,NA
a,495,493.5933433,NA,NA,NA,NA
a,18.55,18.74239124,NA,NA,NA,NA
a / a,NA,1.751130579,NA,NA,NA,NA
a / a,NA,-0.004421117,NA,NA,NA,NA
a * a,NA,60004.3445,NA,NA,NA,NA
a + a,NA,512.6664821,NA,NA,NA,NA
a - a,NA,474.597211,NA,NA,NA,NA
a - a,NA,-474.597211,NA,NA,NA,NA
a,76.5,76.32086254,NA,NA,NA,NA
a,23.4,24.63452468,NA,NA,NA,NA
a / a,NA,0.519399887,NA,-0.097756954,NA,NA
a / a,NA,2.169378709,NA,NA,NA,NA
a * a,NA,11360.3687,NA,1690.489146,NA,NA
a + a,NA,101.3787518,NA,NA,NA,NA
a - a,NA,52.07553818,NA,NA,NA,NA
a - a,NA,-52.07553818,NA,NA,NA,NA
a,1.1,1.170808467,NA,NA,NA,NA
a,1.5,1.558725029,NA,NA,NA,NA
a / a,NA,-0.019785754,NA,NA,NA,NA
a / a,NA,NA,NA,NA,NA,NA
a * a,NA,19.32872296,NA,NA,NA,2.108746266
a + a,NA,2.747625378,0.46521764,NA,NA,NA
a - a,NA,-0.377486314,NA,NA,NA,NA
a - a,NA,0.377486314,NA,NA,NA,NA
a,3.83,3.997851771,NA,NA,-2.880654066,NA
a,3.03,3.179657056,NA,NA,NA,NA
a / a,NA,-0.156438154,NA,NA,NA,NA
a / a,NA,0.035368244,NA,NA,NA,NA
a * a,NA,189.7692328,NA,NA,NA,NA
a + a,NA,7.220367012,NA,NA,-3.976239773,NA
a - a,NA,NA,NA,NA,NA,NA
a - a,NA,NA,NA,NA,NA,NA
a,4.04,3.398197443,NA,NA,NA,NA
a,2.415,2.438914418,NA,NA,NA,NA
a / a,NA,-0.167744117,NA,NA,NA,NA
a / a,NA,0.029974156,NA,NA,NA,NA
a * a,NA,119.8505695,NA,27.69853898,NA,NA
a + a,NA,5.801754871,NA,NA,NA,NA
a - a,NA,0.63518687,NA,NA,NA,NA
a - a,NA,-0.63518687,NA,NA,NA,NA
a,17.835,17.83294715,NA,NA,NA,NA
a,0.04,0.030246546,NA,NA,NA,NA
a / a,NA,-18.33928753,NA,NA,NA,NA
a / a,NA,0.004725101,NA,NA,NA,NA
a * a,NA,-16.57513019,NA,NA,NA,NA
a + a,NA,17.8761882,NA,NA,NA,NA
a - a,NA,17.78977688,NA,NA,NA,NA
a - a,NA,-17.78977688,NA,NA,NA,NA
a,412.5,416.9667771,NA,NA,NA,NA
a,3.4875,3.238251038,0.384214451,NA,1.797644241,NA
a / a,NA,11.87506302,NA,NA,-11.58677481,NA
a / a,NA,-0.001462188,NA,NA,NA,NA
a * a,NA,8283.578483,-572.0103482,NA,1419.342891,NA
a + a,NA,420.4686469,NA,NA,NA,NA
a - a,NA,413.4682041,NA,NA,NA,NA
a - a,NA,-413.4682041,NA,NA,NA,NA
a,1.285,1.436518447,NA,NA,NA,NA
a,0.04,0.028877567,NA,NA,NA,NA
a / a,NA,1.480974179,NA,NA,NA,NA
a / a,NA,-0.003684092,NA,NA,NA,NA
a * a,NA,1.151445135,NA,NA,NA,NA
a + a,NA,1.464455553,NA,NA,NA,NA
a - a,NA,1.408276643,NA,NA,NA,NA
a - a,NA,-1.408276643,NA,NA,NA,NA
a,3.8125,3.95556023,NA,NA,NA,NA
a,8.65,8.669903582,NA,NA,NA,NA
a / a,NA,1.63122321,NA,NA,-11.43076442,NA
a / a,NA,0.787359039,NA,-0.287441035,-0.186430693,NA
a * a,NA,107.3386274,NA,34.87105524,NA,NA
a + a,NA,12.6252799,NA,NA,NA,NA
a - a,NA,-4.761597579,NA,NA,NA,NA
a - a,NA,4.761597579,NA,NA,NA,NA
a,0.8285,0.804176791,NA,NA,NA,NA
a,2.3,2.164611139,NA,NA,NA,NA
a / a,NA,0.014539744,NA,NA,NA,NA
a / a,NA,-33.70053952,-9.173238718,NA,NA,NA
a * a,NA,45.12338944,NA,NA,NA,NA
a + a,NA,3.249195995,NA,NA,NA,NA
a - a,NA,NA,NA,NA,NA,NA
a - a,NA,NA,NA,NA,NA,NA
a,0.105,0.107655313,NA,NA,NA,NA
a,0.026,0.050153575,NA,NA,NA,NA
a / a,NA,0.044557971,NA,NA,NA,NA
a / a,NA,-0.256174624,NA,NA,NA,NA
a * a,NA,0.251095031,NA,NA,NA,NA
a + a,NA,0.162422623,NA,NA,NA,NA
a - a,NA,0.040904819,NA,NA,NA,NA
a - a,NA,-0.040904819,NA,NA,NA,NA
a,10.31,10.03208671,NA,NA,2.201491266,NA
a,0.685,0.643814901,NA,NA,NA,NA
a / a,NA,0.686530283,NA,NA,1.701713678,NA
a / a,NA,-0.00592816,NA,NA,-0.008754318,NA
a * a,NA,48.64460131,NA,8.353147419,NA,NA
a + a,NA,10.73191643,NA,NA,1.860154735,NA
a - a,NA,9.321809523,NA,NA,2.628355676,NA
a - a,NA,-9.321809523,NA,NA,-2.628355676,NA
a,1.14,1.161566588,NA,NA,NA,NA
a,0.07,0.087180763,NA,NA,NA,NA
a / a,NA,-0.63522848,NA,NA,NA,NA
a / a,NA,0.076568799,NA,NA,NA,NA
a * a,NA,-2.094545441,NA,NA,NA,NA
a + a,NA,1.256031936,NA,NA,NA,NA
a - a,NA,1.074139373,NA,NA,NA,NA
a - a,NA,-1.074139373,NA,NA,NA,NA
a,1.35,1.31622958,NA,NA,NA,NA
a,0.885,0.821471467,NA,0.482953746,NA,0.494407255
a / a,NA,0.104211404,NA,NA,NA,NA
a / a,NA,-4.609898026,NA,2.465907781,NA,NA
a * a,NA,16.89127516,NA,1.008535218,NA,NA
a + a,NA,2.135510564,NA,NA,NA,NA
a - a,NA,0.499945052,NA,NA,NA,NA
a - a,NA,-0.499945052,NA,NA,NA,NA
a,0.089690546,0.088836177,NA,-0.002609024,NA,NA
a,0.13,0.153389855,NA,NA,NA,NA
a / a,NA,0.040095275,NA,-0.004800075,NA,NA
a / a,NA,63.79565174,NA,-130.8867261,-246.1218051,-104.6042528
a * a,NA,0.197971882,NA,NA,NA,NA
a + a,NA,0.242686613,NA,NA,NA,NA
a - a,NA,NA,NA,NA,-0.255893033,NA
a - a,NA,NA,NA,NA,0.255893033,NA
a,8.65,8.600701085,NA,NA,NA,NA
a,4.95,5.105834052,NA,NA,NA,NA
a / a,NA,0.26786611,NA,-0.051778783,NA,NA
a / a,NA,5.061291574,NA,-32.41624188,-64.68852349,-29.73598731
a * a,NA,283.1363583,NA,40.05210647,NA,NA
a + a,NA,13.69039143,NA,NA,NA,NA
a - a,NA,3.485805699,NA,NA,NA,NA
a - a,NA,-3.485805699,NA,NA,NA,NA
a,0.545,0.531468867,NA,NA,NA,NA
a,0.065,0.065867789,NA,NA,NA,NA
a / a,NA,0.619460482,NA,NA,NA,NA
a / a,NA,-0.0293756,-0.008872152,NA,-0.009102867,NA
a * a,NA,0.312268235,NA,NA,NA,NA
