"","trait","beta","Aa","Ad","AaAa","AaAd","AdAd"
"229","Aa * Aa",19.5509775123546,15.724765658944,NA,19.701320364254,0.394664304046185,NA
"230","Aa + Aa",76.7555683334948,77.0091065111949,NA,NA,NA,NA
"231","Aa - Aa",76.2444316665052,76.4925246668105,NA,NA,NA,NA
"232","Aa - Aa",-76.2444316665052,-76.4925246668105,NA,NA,NA,NA
"233","Aa",0.036,NA,NA,NA,NA,NA
"234","Aa",1.545,1.24363111938885,NA,NA,NA,NA
"235","Aa / Aa",0.0233009708737864,-0.0430024825199166,NA,NA,NA,NA
"236","Aa / Aa",42.9166666666667,0.621578676998692,NA,NA,NA,NA
"237","Aa * Aa",0.05562,2.68799163972334,NA,NA,NA,NA
"238","Aa + Aa",1.581,1.2498027779738,NA,NA,NA,NA
"239","Aa - Aa",-1.509,-1.25568537796567,NA,NA,NA,NA
"240","Aa - Aa",1.509,1.25568537796567,NA,NA,NA,NA
"241","Aa",0.0446238478374901,0.0446312581936007,0.000869424015070549,NA,NA,NA
"242","Aa",17.857145,17.663193303492,NA,NA,-1.7668829463255,0.545782196118308
"243","Aa / Aa",0.00249893517902722,0.000753778824964319,NA,NA,NA,NA
"244","Aa / Aa",400.170443952562,NA,NA,NA,NA,NA
"245","Aa * Aa",0.796854521291997,1.79240294899871,NA,0.680615254019194,NA,NA
"246","Aa + Aa",17.9017688478375,17.70769675227,NA,NA,-1.7655139691677,0.547244697522297
"247","Aa - Aa",-17.8125211521625,-17.6186900405204,NA,NA,1.76825168317706,-0.544319691018063
"248","Aa - Aa",17.8125211521625,17.6186900405204,NA,NA,-1.76825168317706,0.544319691018063
"249","Aa",76.5,77.7808816243002,NA,NA,NA,NA
"250","Aa",2.15,2.19649897586135,NA,0.0251542165081908,-0.0569651841716791,NA
"251","Aa / Aa",35.5813953488372,NA,NA,NA,NA,NA
"252","Aa / Aa",0.0281045751633987,0.0129834172343785,NA,NA,NA,0.0226564638828495
"253","Aa * Aa",164.475,220.521842889833,NA,171.325076547704,-3.79749544710488,NA
"254","Aa + Aa",78.65,79.9786094849548,NA,NA,NA,NA
"255","Aa - Aa",74.35,75.5845272489326,NA,NA,NA,NA
"256","Aa - Aa",-74.35,-75.5845272489326,NA,NA,NA,NA
"257","Aa",44.81,47.1567608792564,NA,NA,NA,NA
"258","Aa",35.515,34.6293256871888,NA,8.35016518833888,NA,8.42643950420729
"259","Aa / Aa",1.26172039983106,0.0980591545352035,NA,NA,NA,NA
"260","Aa / Aa",0.792568623075206,-0.198754974779902,NA,0.130116656680358,NA,0.101038224573451
"261","Aa * Aa",1591.42715,13902.704530138,NA,NA,NA,NA
"262","Aa + Aa",80.325,81.8034765459108,NA,NA,NA,NA
"263","Aa - Aa",9.295,11.3181903177848,NA,NA,NA,NA
"264","Aa - Aa",-9.295,-11.3181903177848,NA,NA,NA,NA
"265","Aa",20.36,19.6647563203268,NA,NA,NA,NA
"266","Aa",26.5,26.2108690459205,NA,NA,NA,NA
"267","Aa / Aa",0.768301886792453,NA,NA,NA,NA,NA
"268","Aa / Aa",1.30157170923379,NA,NA,NA,NA,NA
"269","Aa * Aa",539.54,2577.92866878725,NA,542.539582597724,NA,NA
"270","Aa + Aa",46.86,45.8144140271627,NA,NA,NA,NA
"271","Aa - Aa",-6.14,-6.56439943223728,NA,NA,NA,NA
"272","Aa - Aa",6.14,6.56439943223728,NA,NA,NA,NA
"273","Aa",4095.5,4152.88221603913,NA,NA,NA,NA
"274","Aa",4.585,4.7126876162025,NA,NA,NA,NA
"275","Aa / Aa",893.238822246456,-470.028730111009,NA,NA,NA,NA
"276","Aa / Aa",0.00111952142595532,0.000169465426498713,6.46484951884443e-05,NA,NA,NA
"277","Aa * Aa",18777.8675,101472.70186081,NA,12090.1697334777,NA,NA
"278","Aa + Aa",4100.085,4157.61483591584,NA,NA,NA,NA
"279","Aa - Aa",4090.915,4148.14962555687,NA,NA,NA,NA
"280","Aa - Aa",-4090.915,-4148.14962555687,NA,NA,NA,NA
"281","Aa",8.825,NA,NA,NA,NA,NA
"282","Aa",14.1,14.1392430129261,NA,NA,NA,NA
"283","Aa / Aa",0.625886524822695,18.2472118863859,23.6097061095064,NA,NA,NA
"284","Aa / Aa",1.59773371104816,0.0602565964179886,NA,NA,NA,0.000812319460737955
"285","Aa * Aa",124.4325,3330.37570174449,NA,NA,NA,NA
"286","Aa + Aa",22.925,18.5318208209969,NA,NA,NA,NA
"287","Aa - Aa",-5.275,-8.90323612369344,NA,NA,NA,NA
"288","Aa - Aa",5.275,8.90323612369344,NA,NA,NA,NA
"289","Aa",30.415,30.3120412473136,NA,NA,NA,NA
"290","Aa",166.9,175.531940182052,NA,NA,NA,50.2644429002809
"291","Aa / Aa",0.182234871180348,0.0137184567419794,NA,NA,NA,NA
"292","Aa / Aa",5.48742396843663,-8.55873307165663,NA,2.19227695921117,NA,NA
"293","Aa * Aa",5076.2635,64456.1832851806,NA,NA,NA,NA
"294","Aa + Aa",197.315,206.371705125707,NA,NA,NA,NA
"295","Aa - Aa",-136.485,-144.530310994916,NA,NA,NA,-63.5288369642336
"296","Aa - Aa",136.485,144.530310994916,NA,NA,NA,63.5288369642336
"297","Aa",0.0425,0.0298524891138544,NA,NA,NA,NA
"298","Aa",9.95,10.4345234399259,NA,NA,NA,NA
"299","Aa / Aa",0.0042713567839196,-0.0127031518655557,-0.00539526489396074,NA,NA,NA
"300","Aa / Aa",234.117647058824,14.0357648923772,NA,NA,NA,NA
"301","Aa * Aa",0.422875,7.45123333871217,NA,NA,NA,NA
"302","Aa + Aa",9.9925,10.4630176264646,NA,NA,NA,NA
"303","Aa - Aa",-9.9075,-10.405729896504,NA,NA,NA,NA
"304","Aa - Aa",9.9075,10.405729896504,NA,NA,NA,NA
"305","Aa",0.6855,0.431589140260799,NA,NA,NA,NA
"306","Aa",87.5,85.4901502660887,NA,NA,NA,NA
"307","Aa / Aa",0.00783428571428571,-0.0870972855466703,NA,NA,NA,NA
"308","Aa / Aa",127.64405543399,8.48274830583706,NA,NA,NA,NA
"309","Aa * Aa",59.98125,874.524477005789,NA,34.6710131909088,NA,NA
"310","Aa + Aa",88.1855,85.9505531939106,NA,NA,NA,NA
"311","Aa - Aa",-86.8145,-85.0468536155485,NA,NA,NA,NA
"312","Aa - Aa",86.8145,85.0468536155485,NA,NA,NA,NA
"313","Aa",5.6,4.25427583105889,NA,NA,NA,NA
"314","Aa",0.365142715065176,0.365009106044235,NA,NA,NA,NA
"315","Aa / Aa",15.3364691912323,-56.8878091050307,-29.8385003919273,NA,NA,NA
"316","Aa / Aa",0.0652040562616386,0.00556260442131402,NA,NA,NA,0.000801034355428212
"317","Aa * Aa",2.04479920436499,23.5544708834185,NA,NA,NA,NA
"318","Aa + Aa",5.96514271506518,4.62207509169223,NA,NA,NA,NA
"319","Aa - Aa",5.23485728493482,3.8864781965157,NA,NA,NA,NA
"320","Aa - Aa",-5.23485728493482,-3.8864781965157,NA,NA,NA,NA
"321","Aa",213.005,220.514356875984,NA,NA,NA,NA
"322","Aa",6.01,5.72539735072542,NA,-0.187642543854916,NA,NA
"323","Aa / Aa",35.4417637271215,4.80590024258356,NA,NA,NA,NA
"324","Aa / Aa",0.028215300110326,-0.0113805529837056,NA,NA,NA,NA
"325","Aa * Aa",1280.16005,6824.9844996556,-814.525637494652,NA,NA,NA
"326","Aa + Aa",219.015,226.246660885647,NA,NA,NA,NA
"327","Aa - Aa",206.995,214.77834912243,NA,NA,NA,NA
"328","Aa - Aa",-206.995,-214.77834912243,NA,NA,NA,NA
"329","Aa",3.08335,3.16939607408004,NA,NA,NA,NA
"330","Aa",0.092,0.0853705758616583,NA,NA,NA,NA
"331","Aa / Aa",33.5146739130435,3.15533909838424,NA,-0.256250499211785,NA,NA
"332","Aa / Aa",0.0298376765530997,-0.0930791692888001,NA,NA,NA,NA
"333","Aa * Aa",0.2836682,3.13910717419816,NA,0.26623013419063,NA,NA
"334","Aa + Aa",3.17535,3.25518285637132,NA,NA,NA,NA
"335","Aa - Aa",2.99135,3.09122220652434,NA,0.133877886834382,-0.178127351996125,NA
"336","Aa - Aa",-2.99135,-3.09122220652434,NA,-0.133877886834382,0.178127351996125,NA
"337","Aa",133.875,164.515412281386,NA,NA,NA,NA
"338","Aa",0.3335,0.37643393446996,NA,NA,NA,NA
"339","Aa / Aa",401.424287856072,NA,NA,NA,NA,NA
"340","Aa / Aa",0.00249112978524743,NA,NA,NA,NA,NA
"341","Aa * Aa",44.6473125,1181.1021345767,NA,NA,242.684717442687,77.490944650709
"342","Aa + Aa",134.2085,164.87160717044,NA,NA,NA,NA
"343","Aa - Aa",133.5415,164.158974347321,NA,NA,NA,NA
"344","Aa - Aa",-133.5415,-164.158974347321,NA,NA,NA,NA
"345","Aa",1.885,0.749298253427221,NA,NA,NA,NA
"346","Aa",10.05,9.98624565912837,NA,NA,NA,NA
"347","Aa / Aa",0.187562189054726,-0.157155036038886,NA,NA,NA,NA
"348","Aa / Aa",5.3315649867374,0.201705152483087,NA,0.0631974427182576,NA,NA
"349","Aa * Aa",18.94425,512.51829320446,NA,NA,NA,NA
"350","Aa + Aa",11.935,11.4490477926148,NA,NA,NA,NA
"351","Aa - Aa",-8.165,-8.83172956819284,NA,-2.63909768485936,NA,NA
"352","Aa - Aa",8.165,8.83172956819284,NA,2.63909768485936,NA,NA
"353","Aa",16.465,15.3471752842244,NA,1.71220984584667,NA,NA
"354","Aa",0.0189999999999999,NA,NA,NA,NA,NA
"355","Aa / Aa",866.578947368426,7.50932999925502,NA,NA,NA,NA
"356","Aa / Aa",0.00115396295171575,-0.005482293762886,NA,NA,NA,NA
"357","Aa * Aa",0.312834999999998,30.5253740202889,NA,NA,NA,NA
"358","Aa + Aa",16.484,15.3698975760931,NA,1.68955463839791,NA,NA
"359","Aa - Aa",16.446,15.3225757865611,NA,1.72303945770356,NA,NA
"360","Aa - Aa",-16.446,-15.3225757865611,NA,-1.72303945770356,NA,NA
"361","Aa",4.8,5.95240724721964,NA,NA,-6.00507129549444,-3.98836171225417
"362","Aa",5.46,5.88619844530385,NA,NA,NA,NA
"363","Aa / Aa",0.879120879120879,-0.0894781656910604,NA,NA,-0.271010045029754,-0.11943119571463
"364","Aa / Aa",1.1375,0.0120336388338867,NA,NA,NA,NA
"365","Aa * Aa",26.208,1253.63998856378,NA,NA,NA,NA
"366","Aa + Aa",10.26,11.146584255196,NA,NA,NA,NA
"367","Aa - Aa",-0.66,NA,NA,NA,NA,-3.41155887997561
