trait,beta,Aa,Ad,AaAa,AaAd,AdAd
Aa - AaAa,NA,-7.773836636,NA,-417.345157,NA,NA
AaAa - Aa,NA,7.773836636,NA,417.345157,NA,NA
Aa,1.255730239,1.259948896,NA,NA,NA,NA
AaAd,28.2,NA,NA,NA,25.29787074,NA
Aa / AaAd,NA,0.035116117,NA,NA,NA,NA
AaAd / Aa,NA,NA,NA,NA,NA,NA
Aa * AaAd,NA,43.82881036,NA,NA,NA,NA
Aa + AaAd,NA,NA,NA,NA,25.64745039,NA
Aa - AaAd,NA,NA,NA,NA,-23.06816073,NA
AaAd - Aa,NA,NA,NA,NA,23.06816073,NA
Aa,12.465,13.52117607,NA,NA,NA,NA
AdAd,2.3,NA,NA,NA,NA,NA
Aa / AdAd,NA,0.242207715,NA,NA,NA,NA
AdAd / Aa,NA,-0.087932665,NA,NA,NA,NA
Aa * AdAd,NA,707.9261053,NA,NA,NA,NA
Aa + AdAd,NA,14.83245519,NA,NA,NA,NA
Aa - AdAd,NA,11.95589731,NA,NA,NA,NA
AdAd - Aa,NA,-11.95589731,NA,NA,NA,NA
Aa,0.17,0.177999511,NA,-0.028610186,NA,NA
AdAd,1.84,NA,NA,NA,NA,1.807157023
Aa / AdAd,NA,0.00868972,NA,NA,NA,NA
AdAd / Aa,NA,-10.56250851,NA,NA,NA,NA
Aa * AdAd,NA,3.61421689,1.805923113,NA,NA,NA
Aa + AdAd,NA,NA,NA,NA,NA,1.96998247
Aa - AdAd,NA,NA,NA,NA,NA,-1.468597378
AdAd - Aa,NA,NA,NA,NA,NA,1.468597378
Aa,8.65,8.557803276,NA,NA,NA,NA
AaAa,18.1,NA,NA,15.97072887,NA,NA
Aa / AaAa,NA,0.07940262,NA,NA,NA,NA
AaAa / Aa,NA,NA,NA,NA,NA,NA
Aa * AaAa,NA,919.8186593,NA,NA,NA,NA
Aa + AaAa,NA,3.974627906,NA,14.81273918,NA,NA
Aa - AaAa,NA,11.38509422,NA,-16.90128116,NA,NA
AaAa - Aa,NA,-11.38509422,NA,16.90128116,NA,NA
Aa,1.545,1.5632007,NA,NA,NA,NA
AaAd,0.452,NA,NA,NA,0.562162035,NA
Aa / AaAd,NA,0.858862886,NA,NA,NA,NA
AaAd / Aa,NA,-0.029691427,NA,NA,NA,NA
Aa * AaAd,NA,2.367666175,NA,NA,4.015780678,NA
Aa + AaAd,NA,1.595215127,NA,NA,NA,NA
Aa - AaAd,NA,1.52093915,NA,NA,NA,NA
AaAd - Aa,NA,-1.52093915,NA,NA,NA,NA
Aa,35.515,38.59595523,NA,NA,NA,NA
AaAd,154,NA,NA,5.067373528,156.6068273,NA
Aa / AaAd,NA,0.175021527,NA,NA,-0.537730689,NA
AaAd / Aa,NA,NA,NA,NA,NA,NA
Aa * AaAd,NA,7830.463092,NA,NA,27827.30642,NA
Aa + AaAd,NA,37.35870869,NA,NA,155.7955399,NA
Aa - AaAd,NA,37.97777578,NA,NA,-151.6091916,NA
AaAd - Aa,NA,-37.97777578,NA,NA,151.6091916,NA
Aa,8.825,NA,NA,NA,NA,NA
AaAa,28.2,NA,NA,28.35455348,0.531881856,NA
Aa / AaAa,NA,NA,19.7181311,NA,NA,10.00472623
AaAa / Aa,NA,NA,NA,0.121856681,NA,NA
Aa * AaAa,NA,NA,NA,6654.729564,NA,NA
Aa + AaAa,NA,4.40757186,-23.92586183,NA,NA,NA
Aa - AaAa,NA,NA,NA,-30.99561612,NA,NA
AaAa - Aa,NA,NA,NA,30.99561612,NA,NA
Aa,87.5,85.93643618,NA,1.397462004,-1.664666054,NA
AaAa,34.75,NA,NA,35.44390985,NA,NA
Aa / AaAa,NA,0.941371471,NA,NA,NA,NA
AaAa / Aa,NA,-1.032568331,NA,0.699375389,NA,NA
Aa * AaAa,NA,8146.431067,NA,3253.949624,-4281.686432,NA
Aa + AaAa,NA,85.47225329,NA,37.07029168,NA,NA
Aa - AaAa,NA,86.08405606,NA,-33.21679062,NA,NA
AaAa - Aa,NA,-86.08405606,NA,33.21679062,NA,NA
Aa,0.092,0.087053728,NA,NA,NA,NA
AaAa,1.6,-0.391522995,NA,2.156792443,NA,NA
Aa / AaAa,NA,0.005064634,0.003313742,NA,NA,NA
AaAa / Aa,NA,-3.026500598,NA,NA,NA,NA
Aa * AaAa,NA,1.189229748,NA,1.229683025,NA,NA
Aa + AaAa,NA,-0.324484235,NA,2.15646008,0.171231118,NA
Aa - AaAa,NA,0.479852753,NA,-2.155354383,NA,NA
AaAa - Aa,NA,-0.479852753,NA,2.155354383,NA,NA
Aa,0.019,NA,NA,NA,NA,NA
AaAa,0.73028543,NA,NA,0.732393815,NA,NA
Aa / AaAa,NA,NA,1.393147322,NA,NA,NA
AaAa / Aa,NA,NA,NA,0.385771824,NA,NA
Aa * AaAa,NA,NA,NA,1.355337163,NA,NA
Aa + AaAa,NA,NA,NA,0.774782315,NA,NA
Aa - AaAa,NA,NA,NA,-0.688744251,NA,NA
AaAa - Aa,NA,NA,NA,0.688744251,NA,NA
Aa,18.6,18.0096302,NA,NA,4.960166381,NA
AaAa,16.16,NA,NA,16.82702933,NA,NA
Aa / AaAa,NA,0.111093641,NA,NA,NA,NA
AaAa / Aa,NA,-0.961087379,NA,0.579230238,NA,NA
Aa * AaAa,NA,3088.624281,NA,1049.224374,NA,NA
Aa + AaAa,NA,17.8767991,NA,13.94598461,NA,NA
Aa - AaAa,NA,19.07865818,NA,-16.21015354,NA,NA
AaAa - Aa,NA,-19.07865818,NA,16.21015354,NA,NA
Aa,495,508.4519299,NA,NA,NA,NA
AdAd,37.1,NA,NA,NA,NA,30.19991217
Aa / AdAd,NA,6.708519277,NA,NA,NA,-4.55250969
AdAd / Aa,NA,-0.025063562,NA,NA,NA,NA
Aa * AdAd,NA,39164.97593,NA,NA,NA,47111.69993
Aa + AdAd,NA,509.6551197,NA,NA,NA,NA
Aa - AdAd,NA,507.3806463,NA,NA,NA,NA
AdAd - Aa,NA,-507.3806463,NA,NA,NA,NA
Aa,6.335,6.575337523,NA,NA,NA,NA
AdAd,23.34,1.095480592,NA,NA,NA,25.28645937
Aa / AdAd,NA,0.064632576,NA,NA,NA,-0.110089751
AdAd / Aa,NA,-0.30118576,NA,NA,NA,0.495826566
Aa * AdAd,NA,685.4498374,NA,NA,NA,972.8686536
Aa + AdAd,NA,8.346657245,NA,NA,NA,24.41624362
Aa - AdAd,NA,5.002916108,NA,NA,NA,-25.98918091
AdAd - Aa,NA,-5.002916108,NA,NA,NA,25.98918091
Aa,412.5,417.7349741,NA,NA,NA,NA
AaAd,13.95,NA,NA,NA,14.02098803,NA
Aa / AaAd,NA,37.61006212,NA,NA,-113.7676937,NA
AaAd / Aa,NA,-0.00346078,NA,NA,NA,NA
Aa * AaAd,NA,5024.747084,NA,NA,12850.15774,NA
Aa + AaAd,NA,419.1524811,NA,NA,NA,NA
Aa - AaAd,NA,416.3326543,NA,NA,NA,NA
AaAd - Aa,NA,-416.3326543,NA,NA,NA,NA
Aa,2.3,1.505622278,NA,NA,NA,NA
AdAd,23.6,NA,NA,NA,NA,18.16970725
Aa / AdAd,NA,NA,NA,NA,NA,-0.666453081
AdAd / Aa,NA,NA,NA,NA,NA,0.44650207
Aa * AdAd,NA,NA,NA,NA,NA,1179.70974
Aa + AdAd,NA,NA,NA,NA,NA,22.70980587
Aa - AdAd,NA,NA,NA,NA,NA,-24.30613934
AdAd - Aa,NA,NA,NA,NA,NA,24.30613934
Aa,0.07,0.087028551,NA,NA,NA,NA
AdAd,12.02,NA,NA,NA,NA,12.28849564
Aa / AdAd,NA,0.006752723,NA,NA,NA,0.045332316
AdAd / Aa,NA,NA,NA,NA,NA,-5.409704094
Aa * AdAd,NA,NA,NA,NA,NA,-26.05305219
Aa + AdAd,NA,NA,NA,NA,NA,12.33740542
Aa - AdAd,NA,NA,NA,NA,NA,-12.23425519
AdAd - Aa,NA,NA,NA,NA,NA,12.23425519
Aa,4.95,4.972457225,NA,NA,NA,NA
AaAa,3.7,NA,NA,3.953559001,NA,NA
Aa / AaAa,NA,0.167284199,NA,-0.145679906,NA,NA
AaAa / Aa,NA,-0.179551407,NA,0.18056822,NA,NA
Aa * AaAa,NA,131.7658751,NA,61.0649141,NA,NA
Aa + AaAa,NA,4.686667102,NA,3.488270705,NA,NA
Aa - AaAa,NA,4.986979723,NA,-5.071079081,NA,NA
AaAa - Aa,NA,-4.986979723,NA,5.071079081,NA,NA
Aa,16.6,16.54424514,NA,-0.067334323,-0.71711807,NA
AaAa,23.1,NA,-20.02446003,NA,NA,NA
Aa / AaAa,NA,0.093861405,NA,NA,NA,NA
AaAa / Aa,NA,11.8269452,16.00817362,NA,NA,NA
Aa * AaAa,NA,2921.223385,NA,NA,NA,NA
Aa + AaAa,NA,15.55342388,-20.35940795,NA,NA,NA
Aa - AaAa,NA,17.40084883,15.06007332,-4.803486418,NA,NA
AaAa - Aa,NA,-17.40084883,-15.06007332,4.803486418,NA,NA
Aa,0.12,0.146021191,NA,NA,NA,NA
AaAa,5.18,NA,NA,NA,NA,NA
Aa / AaAa,NA,0.002416036,NA,-0.00077887,NA,NA
AaAa / Aa,NA,-14.49934694,NA,7.896083592,NA,NA
Aa * AaAa,NA,7.746393008,NA,NA,NA,NA
Aa + AaAa,NA,NA,NA,NA,NA,NA
Aa - AaAa,NA,NA,NA,-2.657640847,NA,NA
AaAa - Aa,NA,NA,NA,2.657640847,NA,NA
Aa,2,1.990554399,NA,NA,NA,NA
AaAa,0.29,NA,NA,0.348873993,NA,NA
Aa / AaAa,NA,1.17915955,NA,-1.258207534,NA,NA
AaAa / Aa,NA,-0.012319237,NA,0.016199393,NA,NA
Aa * AaAa,NA,2.860438747,NA,3.138146907,NA,NA
Aa + AaAa,NA,1.971599463,NA,NA,NA,NA
Aa - AaAa,NA,2.01189388,NA,NA,NA,NA
AaAa - Aa,NA,-2.01189388,NA,NA,NA,NA
Aa,0.981710073,0.975754894,NA,NA,NA,-0.034224056
AdAd,9.02,NA,NA,NA,NA,8.828718099
Aa / AdAd,NA,0.044260109,NA,NA,NA,0.003981787
AdAd / Aa,NA,32.2110235,-45.83449754,NA,NA,-31.46865316
Aa * AdAd,NA,21.49622975,NA,NA,NA,-3.639899335
Aa + AdAd,NA,1.073867017,NA,NA,NA,8.780466473
Aa - AdAd,NA,0.876767336,NA,NA,NA,-8.882640552
AdAd - Aa,NA,-0.876767336,NA,NA,NA,8.882640552
Aa,3.25,3.11944197,NA,NA,NA,NA
AdAd,1063.4,NA,NA,NA,NA,982.668634
Aa / AdAd,NA,0.002402843,NA,NA,NA,-0.002135845
AdAd / Aa,NA,-96.42298454,NA,NA,NA,NA
Aa * AdAd,NA,3832.567803,NA,NA,NA,6595.931315
Aa + AdAd,NA,NA,NA,NA,NA,1000.107682
Aa - AdAd,NA,NA,NA,NA,NA,-967.6945657
AdAd - Aa,NA,NA,NA,NA,NA,967.6945657
Aa,0.77,0.674471966,0.064992246,NA,NA,NA
AaAd,6.5,NA,NA,0.322041866,5.918076252,NA
Aa / AaAd,NA,0.066575237,NA,NA,-0.127878508,NA
AaAd / Aa,NA,-0.63654701,NA,NA,NA,NA
Aa * AaAd,NA,7.052792296,NA,NA,15.58093367,NA
Aa + AaAd,NA,0.478697135,NA,NA,6.301450008,NA
Aa - AaAd,NA,0.480604478,NA,NA,-5.138722182,NA
AaAd - Aa,NA,-0.480604478,NA,NA,5.138722182,NA
Aa,3.05,3.042599085,NA,NA,NA,NA
AaAd,12.12,NA,NA,NA,13.75199347,NA
Aa / AaAd,NA,0.147234571,NA,NA,NA,NA
AaAd / Aa,NA,-0.556313065,NA,NA,NA,NA
Aa * AaAd,NA,62.94495603,NA,NA,56.47131401,NA
Aa + AaAd,NA,3.184085166,NA,NA,13.0974012,NA
Aa - AaAd,NA,1.569870694,NA,NA,-7.98478914,NA
AaAd - Aa,NA,-1.569870694,NA,NA,7.98478914,NA
Aa,0.1665,NA,NA,NA,NA,NA
AaAd,4.066,NA,NA,NA,4.564839624,NA
Aa / AaAd,NA,NA,NA,NA,-0.674527314,NA
AaAd / Aa,NA,NA,NA,NA,0.206365506,NA
Aa * AaAd,NA,NA,NA,NA,98.62006117,NA
Aa + AaAd,NA,NA,NA,NA,5.535832485,NA
Aa - AaAd,NA,NA,NA,NA,-3.521371246,NA
AaAd - Aa,NA,NA,NA,NA,3.521371246,NA
Aa,0.08,0.076586937,NA,NA,NA,NA
AaAa,9.16,NA,NA,8.924923293,NA,NA
Aa / AaAa,NA,0.001292895,0.002093016,NA,NA,NA
AaAa / Aa,NA,-16.11494794,-14.33856703,NA,NA,NA
Aa * AaAa,NA,3.908100509,NA,NA,NA,NA
Aa + AaAa,NA,NA,NA,9.003353724,NA,NA
Aa - AaAa,NA,NA,NA,-8.840806129,NA,NA
AaAa - Aa,NA,NA,NA,8.840806129,NA,NA
Aa,3.095,3.069730057,NA,NA,NA,NA
AdAd,455.1,NA,NA,NA,NA,467.3491347
Aa / AdAd,NA,0.006756011,NA,NA,NA,NA
AdAd / Aa,NA,-71.98799196,NA,NA,NA,NA
Aa * AdAd,NA,1288.436049,NA,NA,NA,2006.833045
Aa + AdAd,NA,NA,NA,NA,NA,466.5047204
Aa - AdAd,NA,NA,NA,NA,NA,-468.083616
AdAd - Aa,NA,NA,NA,NA,NA,468.083616
Aa,0.095,0.095262757,NA,NA,NA,NA
AaAa,0.91,NA,NA,0.634930454,NA,NA
Aa / AaAa,NA,0.015896677,NA,NA,NA,NA
AaAa / Aa,NA,-32.41453181,NA,NA,NA,NA
Aa * AaAa,NA,0.561711045,-0.082061168,NA,NA,NA
Aa + AaAa,NA,NA,NA,0.955136321,NA,NA
Aa - AaAa,NA,NA,NA,-0.811950117,NA,NA
AaAa - Aa,NA,NA,NA,0.811950117,NA,NA
Aa,0.9375,0.95785206,NA,NA,NA,NA
AdAd,24.93,NA,NA,NA,NA,24.39892394
Aa / AdAd,NA,0.012882419,NA,NA,NA,-0.0017612
AdAd / Aa,NA,-93.66366787,NA,NA,NA,NA
Aa * AdAd,NA,70.64006515,NA,NA,NA,15.66657597
Aa + AdAd,NA,NA,NA,NA,NA,24.41406791
Aa - AdAd,NA,2.181154063,NA,NA,NA,-24.42332501
AdAd - Aa,NA,-2.181154063,NA,NA,NA,24.42332501
Aa,0.068,0.064136044,NA,NA,NA,NA
AaAa,2.707540953,NA,NA,2.512231265,NA,NA
Aa / AaAa,NA,NA,NA,NA,NA,NA
AaAa / Aa,NA,NA,NA,9.378079171,NA,NA
Aa * AaAa,NA,NA,NA,0.689539166,NA,NA
Aa + AaAa,NA,0.063444652,NA,2.702869355,0.030014349,NA
Aa - AaAa,NA,0.063620156,NA,-2.25904085,NA,NA
AaAa - Aa,NA,-0.063620156,NA,2.25904085,NA,NA
Aa,10.685,11.15629838,NA,NA,NA,NA
AdAd,0.136,NA,NA,NA,-0.014509226,0.140610729
Aa / AdAd,NA,45.28371879,NA,NA,NA,-43.41481013
AdAd / Aa,NA,-0.00173185,NA,NA,NA,0.003029505
Aa * AdAd,NA,2.701296663,NA,NA,NA,5.610123437
Aa + AdAd,NA,11.1600612,NA,NA,NA,NA
Aa - AdAd,NA,11.14313773,NA,NA,NA,NA
AdAd - Aa,NA,-11.14313773,NA,NA,NA,NA
Aa,8.8,7.972953633,NA,NA,NA,NA
AaAd,194,NA,NA,NA,207.9581828,NA
Aa / AaAd,NA,0.039366966,NA,NA,-0.091344598,NA
AaAd / Aa,NA,-1.850272362,NA,NA,NA,NA
Aa * AaAd,NA,1634.564725,NA,NA,4289.493764,NA
Aa + AaAd,NA,NA,NA,NA,222.266105,NA
Aa - AaAd,NA,9.898016365,NA,NA,-208.7393561,NA
AaAd - Aa,NA,-9.898016365,NA,NA,208.7393561,NA
Aa,0.3451287,0.349266711,NA,NA,NA,NA
AaAd,71.34,NA,NA,NA,73.82667347,NA
Aa / AaAd,NA,0.005431285,NA,NA,-0.008491736,NA
AaAd / Aa,NA,-53.73105899,NA,NA,59.19871741,NA
Aa * AaAd,NA,26.62547238,NA,NA,NA,NA
Aa + AaAd,NA,NA,NA,NA,74.3684081,NA
Aa - AaAd,NA,NA,NA,NA,-73.34253835,NA
AaAd - Aa,NA,NA,NA,NA,73.34253835,NA
Aa,8.95,7.395968643,NA,NA,NA,NA
AdAd,0.085,NA,NA,NA,NA,0.10738827
Aa / AdAd,NA,8.044175545,NA,NA,NA,NA
AdAd / Aa,NA,-0.003101124,NA,NA,NA,NA
Aa * AdAd,NA,6.757767197,NA,NA,NA,5.324155514
Aa + AdAd,NA,7.397874148,NA,NA,NA,NA
Aa - AdAd,NA,7.393764426,NA,NA,NA,NA
AdAd - Aa,NA,-7.393764426,NA,NA,NA,NA
Aa,1.14,1.184417388,NA,NA,NA,NA
AaAa,1.051,NA,NA,0.703597574,NA,NA
Aa / AaAa,NA,0.101909555,0.077364705,NA,NA,NA
AaAa / Aa,NA,-0.301707663,-0.23482314,NA,NA,NA
Aa * AaAa,NA,13.82693081,NA,6.534359974,NA,NA
Aa + AaAa,NA,1.328067025,NA,1.023846597,NA,NA
Aa - AaAa,NA,1.045200844,1.126492168,NA,NA,NA
AaAa - Aa,NA,-1.045200844,-1.126492168,NA,NA,NA
Aa,15.075,15.17674367,-0.178661297,NA,NA,NA
AdAd,16.16,-1.4432323,NA,NA,-3.882510286,22.97370722
Aa / AdAd,NA,0.104240499,NA,NA,NA,-0.017966701
AdAd / Aa,NA,-11.89526432,NA,5.66488198,NA,NA
Aa * AdAd,NA,2224.822935,NA,NA,NA,387.9636574
Aa + AdAd,NA,13.07368228,NA,NA,-7.504687434,23.42805726
Aa - AdAd,NA,17.78313451,NA,NA,NA,-23.83984213
AdAd - Aa,NA,-17.78313451,NA,NA,NA,23.83984213
Aa,1.365,1.654144141,NA,NA,NA,NA
AaAd,12.04,NA,NA,NA,14.32158174,NA
Aa / AaAd,NA,0.016358372,NA,NA,NA,NA
AaAd / Aa,NA,-1.310523499,NA,NA,NA,NA
Aa * AaAd,NA,146.0727203,NA,67.65847388,185.0906142,NA
Aa + AaAd,NA,NA,NA,NA,15.61258026,NA
Aa - AaAd,NA,NA,NA,NA,-7.786352661,NA
AaAd - Aa,NA,NA,NA,NA,7.786352661,NA
Aa,63.445,63.08079409,NA,NA,NA,NA
AaAa,0.096,NA,-0.093641763,0.064097994,NA,NA
Aa / AaAa,NA,60.71163404,NA,-27.43809788,NA,NA
AaAa / Aa,NA,-0.002605047,NA,0.001487107,NA,NA
Aa * AaAa,NA,64.79063074,NA,NA,NA,-20.5422084
Aa + AaAa,NA,63.07033391,NA,NA,NA,NA
Aa - AaAa,NA,63.09108234,NA,NA,NA,NA
AaAa - Aa,NA,-63.09108234,NA,NA,NA,NA
Aa,39.5,41.59900559,NA,NA,NA,NA
AdAd,3.44,NA,NA,NA,NA,3.447139761
Aa / AdAd,NA,7.325473821,NA,NA,NA,-16.46207226
AdAd / Aa,NA,-0.004105189,NA,NA,NA,0.01599637
Aa * AdAd,NA,176.4950036,NA,NA,NA,707.4146857
Aa + AdAd,NA,41.50444629,NA,NA,NA,NA
Aa - AdAd,NA,41.74080287,NA,NA,NA,NA
AdAd - Aa,NA,-41.74080287,NA,NA,NA,NA
Aa,10.4,11.00863278,NA,NA,NA,NA
AaAa,10.4,NA,NA,10.51428264,NA,NA
Aa / AaAa,NA,0.302154525,NA,-0.425557836,NA,NA
AaAa / Aa,NA,-0.23076983,NA,0.264319055,NA,NA
Aa * AaAa,NA,398.8041907,NA,298.9902276,NA,NA
Aa + AaAa,NA,11.46268735,NA,9.911093949,NA,NA
Aa - AaAa,NA,10.45227934,NA,-10.39905,NA,NA
AaAa - Aa,NA,-10.45227934,NA,10.39905,NA,NA
Aa,16.8,13.92842601,NA,NA,NA,NA
AaAd,76.66666665,NA,NA,NA,74.6804704,NA
Aa / AaAd,NA,NA,NA,NA,-9.193661722,NA
AaAd / Aa,NA,NA,NA,NA,0.647276166,NA
Aa * AaAd,NA,NA,NA,NA,8339.849207,NA
Aa + AaAd,NA,13.55490031,NA,NA,84.07710739,NA
Aa - AaAd,NA,12.9793926,NA,NA,-65.09740743,NA
AaAd - Aa,NA,-12.9793926,NA,NA,65.09740743,NA
Aa,1.355,1.393279097,-0.203978618,NA,NA,NA
AaAd,3,NA,NA,NA,2.928351377,NA
Aa / AaAd,NA,0.090304601,NA,NA,NA,NA
AaAd / Aa,NA,-0.067651615,NA,NA,NA,NA
Aa * AaAd,NA,11.32281302,NA,NA,25.79944951,NA
Aa + AaAd,NA,1.510263917,NA,NA,2.531703764,NA
Aa - AaAd,NA,1.308526033,-0.761517281,NA,-2.919980017,NA
AaAd - Aa,NA,-1.308526033,0.761517281,NA,2.919980017,NA
Aa,5.23,5.16955268,NA,NA,NA,NA
AdAd,0.5075,NA,NA,NA,NA,0.354328208
Aa / AdAd,NA,8.996173535,NA,NA,NA,-3.0238642
AdAd / Aa,NA,-0.103143566,NA,NA,-0.112063493,0.037780174
Aa * AdAd,NA,2.598956143,NA,NA,1.720047767,3.005321624
Aa + AdAd,NA,5.163550735,NA,NA,NA,0.420612825
Aa - AdAd,NA,5.168935121,-0.360538088,NA,NA,NA
AdAd - Aa,NA,-5.168935121,0.360538088,NA,NA,NA
Aa,32.9,31.92676564,NA,NA,NA,NA
AaAa,27.8,NA,NA,26.40777516,3.314467631,NA
Aa / AaAa,NA,0.284059871,0.102299013,NA,NA,NA
AaAa / Aa,NA,-0.907071828,NA,0.728452998,0.41160482,NA
Aa * AaAa,NA,3601.155873,NA,1950.995733,NA,NA
Aa + AaAa,NA,33.01000205,NA,27.16192561,NA,NA
Aa - AaAa,NA,31.06801777,NA,-25.64167318,NA,NA
AaAa - Aa,NA,-31.06801777,NA,25.64167318,NA,NA
Aa,8.42,8.768273736,NA,NA,NA,NA
AdAd,0.34,0.006461711,NA,NA,NA,0.326010535
Aa / AdAd,NA,11.59976359,-13.5468574,NA,NA,NA
AdAd / Aa,NA,-0.00415836,NA,NA,NA,0.007504479
Aa * AdAd,NA,5.628727933,NA,NA,NA,12.38803587
Aa + AdAd,NA,8.747258158,NA,NA,NA,NA
Aa - AdAd,NA,8.792931323,NA,NA,NA,NA
AdAd - Aa,NA,-8.792931323,NA,NA,NA,NA
Aa,87.5,86.42156477,NA,NA,14.70981148,NA
AdAd,249.5,NA,NA,NA,NA,248.5763078
Aa / AdAd,NA,0.614057332,NA,NA,NA,NA
AdAd / Aa,NA,-0.114185522,3.13944213,NA,-4.275896665,NA
Aa * AdAd,NA,6148.952139,NA,NA,12561.28693,21709.66232
Aa + AdAd,NA,88.75688056,NA,NA,NA,247.2924013
Aa - AdAd,NA,87.10114085,NA,NA,NA,-250.8426731
AdAd - Aa,NA,-87.10114085,NA,NA,NA,250.8426731
Aa,0.758770898,0.765805165,NA,NA,NA,NA
AdAd,18.6,NA,NA,NA,NA,15.53210115
Aa / AdAd,NA,0.031646292,NA,NA,NA,NA
AdAd / Aa,NA,NA,NA,NA,NA,NA
Aa * AdAd,NA,14.9457044,NA,NA,8.258529492,-4.609872529
Aa + AdAd,NA,0.360973659,NA,NA,NA,17.60966067
Aa - AdAd,NA,0.853452709,NA,NA,NA,-18.21490549
AdAd - Aa,NA,-0.853452709,NA,NA,NA,18.21490549
Aa,16.6,16.41082271,NA,NA,NA,NA
AdAd,1.35,NA,NA,NA,NA,1.427098345
Aa / AdAd,NA,2.378857151,NA,NA,NA,NA
AdAd / Aa,NA,0.527622074,NA,NA,NA,1.336620152
Aa * AdAd,NA,111.8403113,NA,NA,4.798170514,10.98178972
Aa + AdAd,NA,16.48754261,0.835728019,NA,NA,NA
Aa - AdAd,NA,16.35867525,NA,-1.199047589,NA,-1.653780704
AdAd - Aa,NA,-16.35867525,NA,1.199047589,NA,1.653780704
Aa,0.52,0.50274243,0.064120011,NA,NA,NA
AaAa,6.3,NA,NA,5.572261849,-1.959677438,NA
Aa / AaAa,NA,0.010206828,NA,NA,NA,NA
AaAa / Aa,NA,-11.56273762,NA,8.352687579,NA,NA
Aa * AaAa,NA,24.58902099,NA,NA,NA,NA
Aa + AaAa,NA,NA,NA,5.103079272,NA,NA
Aa - AaAa,NA,NA,NA,-4.769390085,NA,NA
AaAa - Aa,NA,NA,NA,4.769390085,NA,NA
Aa,0.055,0.051038751,NA,NA,NA,NA
AaAa,16.89,NA,NA,12.54018835,NA,NA
Aa / AaAa,NA,NA,NA,0.016737643,NA,NA
AaAa / Aa,NA,NA,NA,-14.09939779,NA,NA
Aa * AaAa,NA,1.779965508,NA,-18.92554681,NA,NA
Aa + AaAa,NA,NA,NA,12.19376782,NA,NA
Aa - AaAa,NA,NA,NA,-16.63363457,NA,NA
AaAa - Aa,NA,NA,NA,16.63363457,NA,NA
Aa,2.6,2.393186104,NA,NA,NA,NA
AdAd,18.2,NA,NA,NA,NA,18.93138171
Aa / AdAd,NA,0.113183602,-0.531498485,NA,NA,NA
AdAd / Aa,NA,-0.158434573,NA,NA,NA,1.13126551
Aa * AdAd,NA,NA,NA,NA,NA,292.2154759
Aa + AdAd,NA,1.246837289,NA,NA,NA,17.7426186
Aa - AdAd,NA,2.774017257,NA,NA,NA,-19.09995497
AdAd - Aa,NA,-2.774017257,NA,NA,NA,19.09995497
Aa,0.2573,0.255894821,NA,NA,NA,NA
AaAd,0.5,0.237529096,NA,NA,NA,NA
