"trait","beta","Aa","Ad","AaAa","AaAd","AdAd"
"Aa * Aa",NA,34054.8886963341,NA,7425.47445833022,NA,NA
"Aa + Aa",NA,6054.24866078604,NA,NA,NA,NA
"Aa - Aa",NA,-6052.34199415322,NA,NA,NA,NA
"Aa - Aa",NA,6052.34199415322,NA,NA,NA,NA
"Aa",16.465,16.0518625225713,NA,NA,NA,NA
"Aa",10.685,11.8060451311065,NA,NA,NA,NA
"Aa / Aa",NA,NA,NA,NA,NA,NA
"Aa / Aa",NA,NA,NA,NA,NA,NA
"Aa * Aa",NA,1511.03105477153,-217.111949685443,NA,NA,NA
"Aa + Aa",NA,27.6346070010842,NA,NA,NA,NA
"Aa - Aa",NA,2.73780568220722,NA,NA,9.4103311492943,NA
"Aa - Aa",NA,-2.73780568220722,NA,NA,-9.4103311492943,NA
"Aa",1.315,1.31555313938976,NA,NA,NA,NA
"Aa",2.435,2.84461161968261,NA,NA,NA,NA
"Aa / Aa",NA,0.0711639752515172,NA,-0.0101178404035723,NA,NA
"Aa / Aa",NA,-8.58516657897956,NA,NA,NA,NA
"Aa * Aa",NA,23.901937365141,NA,4.09922985288557,NA,NA
"Aa + Aa",NA,4.15445797046506,NA,NA,NA,NA
"Aa - Aa",NA,-1.53889453932951,NA,NA,NA,NA
"Aa - Aa",NA,1.53889453932951,NA,NA,NA,NA
"Aa",2.45,2.63085891103872,NA,NA,NA,NA
"Aa",10.685,10.3321566951063,NA,-1.98200145379226,-2.53095835152316,NA
"Aa / Aa",NA,-0.263598257453603,NA,0.193801827329711,0.152986994413653,NA
"Aa / Aa",NA,0.167757593025283,NA,-0.0965584045469225,NA,NA
"Aa * Aa",NA,568.560580982643,NA,NA,NA,NA
"Aa + Aa",NA,12.5244392081109,NA,NA,NA,NA
"Aa - Aa",NA,-7.47685173532053,NA,4.25179346255625,NA,NA
"Aa - Aa",NA,7.47685173532053,NA,-4.25179346255625,NA,NA
"Aa",27.75,28.5785411457329,NA,NA,NA,NA
"Aa",1.2557302385,1.25703478834477,NA,NA,NA,NA
"Aa / Aa",NA,226.852292330151,NA,817.501579445689,-1610.41190406748,708.845799332
"Aa / Aa",NA,0.0125769862027913,NA,-0.00275825789220986,NA,NA
"Aa * Aa",NA,126.650241732946,NA,32.2207825117879,NA,NA
"Aa + Aa",NA,29.8303284316254,NA,NA,NA,NA
"Aa - Aa",NA,27.3266975400502,NA,NA,NA,NA
"Aa - Aa",NA,-27.3266975400502,NA,NA,NA,NA
"Aa",1.85,1.87821224655609,NA,NA,NA,NA
"Aa",32.5,33.7487160563868,NA,NA,NA,NA
"Aa / Aa",NA,-0.0365446407572396,NA,NA,NA,NA
"Aa / Aa",NA,0.940457073243657,NA,NA,NA,NA
"Aa * Aa",NA,1126.68018871473,NA,NA,NA,NA
"Aa + Aa",NA,35.3770774239135,NA,NA,NA,NA
"Aa - Aa",NA,-32.0358231402114,NA,NA,NA,NA
"Aa - Aa",NA,32.0358231402114,NA,NA,NA,NA
"Aa",136.9,130.931337975427,NA,NA,NA,NA
"Aa",0.64,0.62547507551034,NA,-0.0838996654918129,NA,NA
"Aa / Aa",NA,18.0049338368227,NA,NA,NA,NA
"Aa / Aa",NA,-0.00147111795796012,NA,NA,NA,NA
"Aa * Aa",NA,674.029437357852,NA,NA,102.322649962383,NA
"Aa + Aa",NA,131.571788517928,NA,NA,NA,NA
"Aa - Aa",NA,130.290934790075,NA,NA,NA,NA
"Aa - Aa",NA,-130.290934790075,NA,NA,NA,NA
"Aa",0.2905,NA,NA,NA,NA,NA
"Aa",12.465,12.855586901118,NA,NA,NA,NA
"Aa / Aa",NA,-0.0463630883824045,NA,NA,NA,NA
"Aa / Aa",NA,0.628127731575097,NA,NA,NA,NA
"Aa * Aa",NA,262.812227890921,NA,NA,NA,NA
"Aa + Aa",NA,12.8610112771511,NA,NA,NA,-1.93264509378743
"Aa - Aa",NA,-12.8079598735205,NA,NA,NA,NA
"Aa - Aa",NA,12.8079598735205,NA,NA,NA,NA
"Aa",3.6875,3.62129220490721,NA,NA,NA,NA
"Aa",59.15,58.4201465005067,NA,NA,NA,NA
"Aa / Aa",NA,0.091447641070741,NA,NA,NA,NA
"Aa / Aa",NA,10.5379426182623,NA,-6.25872109078924,-5.52442436880927,NA
"Aa * Aa",NA,443.851828539669,NA,209.705567715005,NA,NA
"Aa + Aa",NA,62.0586487659345,NA,NA,NA,NA
"Aa - Aa",NA,-54.748272173148,NA,NA,NA,NA
"Aa - Aa",NA,54.748272173148,NA,NA,NA,NA
"Aa",7.05,7.19015908244873,NA,NA,NA,NA
"Aa",0.89285714,0.912065680767833,NA,NA,NA,NA
"Aa / Aa",NA,-1.61568922589403,NA,1.74638178351933,NA,1.61064930052217
"Aa / Aa",NA,0.0092754847160393,NA,-0.0115322741312914,NA,-0.0111525180699273
"Aa * Aa",NA,49.3010884959406,NA,7.63091394599632,NA,NA
"Aa + Aa",NA,8.07790627925454,NA,NA,NA,NA
"Aa - Aa",NA,6.29177731729539,NA,NA,NA,NA
"Aa - Aa",NA,-6.29177731729539,NA,NA,NA,NA
"Aa",12.5,10.7310065384457,-2.40762859650752,NA,4.88673187869384,NA
"Aa",0.17,0.166638180949544,NA,NA,NA,NA
"Aa / Aa",NA,-53.4337066615905,NA,25.9897093650059,8.63506412579147,NA
"Aa / Aa",NA,0.000926816209238676,NA,-0.000294433721564427,-0.000162446412227472,NA
"Aa * Aa",NA,27.8039421809095,NA,NA,NA,-1.94542754853715
"Aa + Aa",NA,10.9077262295123,-2.22858571359387,NA,4.7939123507694,NA
"Aa - Aa",NA,10.5644646568834,-2.53591844764925,NA,4.88775227913213,NA
"Aa - Aa",NA,-10.5644646568834,2.53591844764925,NA,-4.88775227913213,NA
"Aa",29.8,29.9291138146267,NA,NA,NA,NA
"Aa",20.36,20.2837658748883,NA,NA,NA,NA
"Aa / Aa",NA,NA,NA,NA,NA,NA
"Aa / Aa",NA,-0.0259675705537262,NA,NA,NA,NA
"Aa * Aa",NA,2819.02121935291,-353.029897146821,NA,263.026027095719,NA
"Aa + Aa",NA,50.5879546294582,NA,NA,NA,NA
"Aa - Aa",NA,9.53367167973237,NA,NA,NA,NA
"Aa - Aa",NA,-9.53367167973237,NA,NA,NA,NA
"Aa",4.95,5.18715115786188,NA,NA,NA,-0.650743532278405
"Aa",1.625,1.66854427737331,NA,NA,NA,NA
"Aa / Aa",NA,-1.31806664409173,-0.488995832208777,NA,NA,NA
"Aa / Aa",NA,0.0373046301921664,NA,NA,NA,NA
"Aa * Aa",NA,52.0699637343754,-8.43050005631078,NA,NA,NA
"Aa + Aa",NA,6.84309767954912,NA,NA,NA,-0.788768948548581
"Aa - Aa",NA,3.52970893910496,NA,NA,NA,-0.54743876753302
"Aa - Aa",NA,-3.52970893910496,NA,NA,NA,0.54743876753302
"Aa",1.65,1.26579259494548,NA,NA,NA,NA
"Aa",8.65,8.58551200401144,NA,NA,0.851463452973076,NA
"Aa / Aa",NA,4.20274072237863,NA,NA,-41.0218365622789,NA
"Aa / Aa",NA,0.396705416839275,NA,NA,NA,NA
"Aa * Aa",NA,188.966346146702,NA,NA,26.0539349703896,NA
"Aa + Aa",NA,9.96012468834256,NA,NA,NA,NA
"Aa - Aa",NA,-7.38212833059201,NA,NA,NA,NA
"Aa - Aa",NA,7.38212833059201,NA,NA,NA,NA
"Aa",2.6,2.66774280068878,NA,NA,NA,NA
"Aa",34.13,35.2296013602761,NA,NA,NA,NA
"Aa / Aa",NA,NA,NA,NA,NA,NA
"Aa / Aa",NA,NA,NA,NA,NA,NA
"Aa * Aa",NA,625.027406490178,NA,NA,NA,NA
"Aa + Aa",NA,37.9262985636396,NA,NA,NA,NA
"Aa - Aa",NA,-32.5383787845811,NA,NA,NA,NA
"Aa - Aa",NA,32.5383787845811,NA,NA,NA,NA
"Aa",76.5,76.7125430246,NA,NA,NA,NA
"Aa",0.255568333494831,0.257423171605107,NA,NA,NA,NA
"Aa / Aa",NA,25.8057582534335,NA,137.399101593666,254.947601657273,157.186601225376
"Aa / Aa",NA,-0.000316572663376281,-0.000309733868044573,NA,NA,NA
"Aa * Aa",NA,15.7286527483702,NA,13.357746165137,NA,NA
"Aa + Aa",NA,76.9718590292228,NA,NA,NA,NA
"Aa - Aa",NA,76.4532568116178,NA,NA,NA,NA
"Aa - Aa",NA,-76.4532568116178,NA,NA,NA,NA
"Aa",0.036,NA,NA,NA,NA,NA
"Aa",1.545,1.39582649230628,NA,NA,NA,NA
"Aa / Aa",NA,-0.0422448857528704,NA,NA,NA,NA
"Aa / Aa",NA,0.649144750672536,NA,NA,NA,-0.13874715787622
"Aa * Aa",NA,2.93209567495539,NA,NA,NA,NA
"Aa + Aa",NA,1.41435830869787,NA,NA,NA,NA
"Aa - Aa",NA,-1.37510673486369,NA,NA,NA,NA
"Aa - Aa",NA,1.37510673486369,NA,NA,NA,NA
"Aa",0.0446238478374901,0.0445086126738609,NA,NA,NA,NA
"Aa",17.857145,17.5504313112593,NA,NA,NA,NA
"Aa / Aa",NA,0.00138190495695966,NA,-0.00098281095002132,-0.00108124259590212,NA
"Aa / Aa",NA,1176.06164086818,NA,-1907.35650042859,-3463.21962599528,-1469.5865795954
"Aa * Aa",NA,1.79061667754986,NA,0.741446684416309,NA,NA
"Aa + Aa",NA,17.594833164189,NA,NA,NA,NA
"Aa - Aa",NA,-17.5060297796376,NA,NA,NA,NA
"Aa - Aa",NA,17.5060297796376,NA,NA,NA,NA
"Aa",76.5,77.6307796371279,NA,NA,NA,NA
"Aa",2.15,2.18378252926769,NA,NA,NA,NA
"Aa / Aa",NA,-60.830835750401,NA,98.0802823386669,178.723084016544,75.205917498441
"Aa / Aa",NA,0.0130574988088519,NA,NA,NA,NA
"Aa * Aa",NA,220.511980383801,NA,165.27531533318,NA,NA
"Aa + Aa",NA,79.8164655724588,NA,NA,NA,NA
"Aa - Aa",NA,75.4443007201865,NA,NA,NA,NA
"Aa - Aa",NA,-75.4443007201865,NA,NA,NA,NA
"Aa",44.81,46.0572082644947,NA,NA,NA,NA
"Aa",35.515,35.8000630563848,NA,NA,NA,NA
"Aa / Aa",NA,0.0844539090475115,NA,NA,NA,NA
"Aa / Aa",NA,-0.125633762670296,NA,NA,NA,NA
"Aa * Aa",NA,13740.0963309301,NA,NA,NA,NA
"Aa + Aa",NA,81.2743152565115,NA,NA,NA,NA
"Aa - Aa",NA,7.35464718659817,NA,NA,NA,NA
"Aa - Aa",NA,-7.35464718659817,NA,NA,NA,NA
"Aa",20.36,20.489509242987,NA,NA,NA,NA
"Aa",26.5,26.2272068305641,NA,2.67084933451304,NA,NA
"Aa / Aa",NA,NA,NA,-0.0803538162499998,NA,-0.0707780096688055
"Aa / Aa",NA,NA,NA,0.14732988985663,NA,0.134971560217018
"Aa * Aa",NA,2661.79777514961,NA,678.83187893715,NA,NA
"Aa + Aa",NA,47.0307770782349,NA,NA,NA,NA
"Aa - Aa",NA,-5.37192420432066,NA,NA,NA,NA
"Aa - Aa",NA,5.37192420432066,NA,NA,NA,NA
"Aa",4095.5,4219.07497240965,NA,NA,NA,NA
"Aa",4.585,4.71311089169429,NA,NA,NA,NA
"Aa / Aa",NA,-572.544552260349,NA,251.134128142912,NA,NA
"Aa / Aa",NA,0.000160086413636535,NA,NA,NA,NA
"Aa * Aa",NA,99945.8201255384,NA,18871.7338850946,NA,NA
"Aa + Aa",NA,4223.67959864644,NA,NA,NA,NA
"Aa - Aa",NA,4214.47037622984,NA,NA,NA,NA
"Aa - Aa",NA,-4214.47037622984,NA,NA,NA,NA
"Aa",8.825,4.5881864695063,NA,NA,32.0415617226081,NA
"Aa",14.1,14.0553222801259,NA,NA,NA,NA
"Aa / Aa",NA,21.8963461193904,NA,NA,NA,16.2297935645226
"Aa / Aa",NA,0.0590914307324406,NA,NA,NA,NA
"Aa * Aa",NA,3354.17495501361,NA,NA,NA,NA
"Aa + Aa",NA,19.5166652898486,NA,NA,30.3939242373413,NA
"Aa - Aa",NA,-8.45252081612013,NA,NA,29.9295182667713,NA
"Aa - Aa",NA,8.45252081612013,NA,NA,-29.9295182667713,NA
"Aa",30.415,29.7536007882352,NA,NA,NA,NA
"Aa",166.9,160.758162046602,NA,NA,NA,NA
"Aa / Aa",NA,0.0130810600811407,NA,NA,NA,NA
"Aa / Aa",NA,-8.29421526464702,-2.09481544695582,NA,NA,NA
"Aa * Aa",NA,62862.3647281962,NA,NA,NA,NA
"Aa + Aa",NA,189.872956506764,NA,NA,NA,NA
"Aa - Aa",NA,-131.701070542084,NA,NA,NA,NA
"Aa - Aa",NA,131.701070542084,NA,NA,NA,NA
"Aa",0.0425,0.0311434998074706,NA,NA,NA,NA
"Aa",9.95,9.85041746136379,NA,NA,NA,NA
"Aa / Aa",NA,-0.012672529232568,NA,0.00416335785678537,0.00464521380257375,NA
"Aa / Aa",NA,13.1873418759499,NA,NA,NA,NA
"Aa * Aa",NA,7.24436532215044,NA,NA,NA,NA
"Aa + Aa",NA,9.88363821576814,NA,NA,NA,NA
"Aa - Aa",NA,-9.81717363334364,NA,NA,NA,NA
"Aa - Aa",NA,9.81717363334364,NA,NA,NA,NA
"Aa",0.6855,0.407097367305925,NA,NA,0.272408221499523,NA
"Aa",87.5,85.5634988887673,NA,NA,NA,NA
"Aa / Aa",NA,-0.0832016544224327,NA,NA,NA,NA
"Aa / Aa",NA,8.45391702221763,NA,NA,NA,NA
"Aa * Aa",NA,874.108952816249,NA,NA,NA,-38.4464278042139
"Aa + Aa",NA,86.0799414571779,NA,NA,NA,NA
"Aa - Aa",NA,-85.0492602815661,NA,NA,NA,NA
"Aa - Aa",NA,85.0492602815661,NA,NA,NA,NA
"Aa",5.6,4.22328676343532,NA,NA,NA,NA
"Aa",0.365142715065176,0.360580708956409,NA,NA,NA,NA
"Aa / Aa",NA,-51.5516328430148,NA,23.7169928793556,NA,NA
"Aa / Aa",NA,0.00552529266581078,NA,-0.000567040817575032,NA,NA
"Aa * Aa",NA,23.3954474918785,-1.34525007062871,NA,NA,NA
"Aa + Aa",NA,4.58272619798135,NA,NA,NA,NA
"Aa - Aa",NA,3.86378135443206,NA,NA,NA,NA
"Aa - Aa",NA,-3.86378135443206,NA,NA,NA,NA
"Aa",213.005,220.03268792671,NA,NA,NA,NA
"Aa",6.01,5.81876304800153,NA,NA,NA,NA
"Aa / Aa",NA,4.90005321565877,NA,-0.840750798454049,NA,NA
"Aa / Aa",NA,-0.0143109019335597,NA,0.00690893469962582,0.00676832976727948,NA
"Aa * Aa",NA,6801.25455121767,NA,1168.77261467766,NA,NA
"Aa + Aa",NA,225.85465826647,NA,NA,NA,NA
"Aa - Aa",NA,214.206891210925,NA,NA,NA,NA
"Aa - Aa",NA,-214.206891210925,NA,NA,NA,NA
"Aa",3.08335,3.15886839836947,NA,NA,NA,NA
"Aa",0.092,0.0918153562240122,NA,NA,NA,NA
"Aa / Aa",NA,3.15274249191975,0.241385177529574,NA,-0.493451090953792,NA
"Aa / Aa",NA,-0.418533613294333,NA,0.377288412959236,0.620577081996502,0.258563311629867
"Aa * Aa",NA,3.18745403727967,NA,0.466960317555538,NA,NA
"Aa + Aa",NA,3.25196657165872,NA,NA,NA,NA
"Aa - Aa",NA,3.06764744758519,NA,NA,NA,NA
"Aa - Aa",NA,-3.06764744758519,NA,NA,NA,NA
"Aa",133.875,140.847890023989,NA,NA,NA,71.5612826080421
"Aa",0.3335,0.339320648979706,NA,NA,NA,NA
"Aa / Aa",NA,NA,NA,NA,NA,NA
"Aa / Aa",NA,NA,NA,NA,NA,NA
"Aa * Aa",NA,1092.63641967209,NA,NA,NA,NA
"Aa + Aa",NA,141.196429068662,NA,NA,NA,71.5041358740243
"Aa - Aa",NA,140.499283402936,NA,NA,NA,71.6186971882426
"Aa - Aa",NA,-140.499283402936,NA,NA,NA,-71.6186971882426
"Aa",1.885,NA,NA,NA,NA,NA
"Aa",10.05,10.2649950339021,NA,NA,NA,NA
"Aa / Aa",NA,-0.159671080494769,NA,NA,NA,NA
"Aa / Aa",NA,0.207560060549225,NA,NA,NA,NA
"Aa * Aa",NA,497.097956927659,NA,NA,NA,NA
"Aa + Aa",NA,11.3781571005964,NA,NA,NA,NA
"Aa - Aa",NA,-9.10366264068976,NA,NA,NA,NA
"Aa - Aa",NA,9.10366264068976,NA,NA,NA,NA
"Aa",16.465,15.6539132213521,NA,NA,NA,NA
"Aa",0.0189999999999999,NA,NA,NA,NA,NA
"Aa / Aa",NA,7.57147920868792,NA,NA,3.19066524084469,NA
"Aa / Aa",NA,-0.00544201881264831,NA,NA,-0.00310578617312871,NA
"Aa * Aa",NA,28.9309708656744,NA,NA,NA,NA
"Aa + Aa",NA,15.6566715433375,NA,NA,NA,NA
"Aa - Aa",NA,15.6504248629176,NA,NA,NA,NA
"Aa - Aa",NA,-15.6504248629176,NA,NA,NA,NA
"Aa",4.8,5.21520120170624,NA,NA,NA,NA
"Aa",5.46,5.33302089691351,NA,NA,NA,3.61182991807983
"Aa / Aa",NA,-0.0988381858981817,NA,NA,NA,-0.089466357148566
"Aa / Aa",NA,0.0182849041651401,NA,NA,NA,0.0242626911151419
"Aa * Aa",NA,1138.38677328207,NA,NA,NA,NA
"Aa + Aa",NA,10.4194160997178,NA,NA,NA,NA
"Aa - Aa",NA,NA,NA,NA,NA,-3.23223974690837
"Aa - Aa",NA,NA,NA,NA,NA,3.23223974690837
"Aa",1.72,1.69457440447376,NA,NA,NA,NA
"Aa",0.285,0.271358079130495,NA,NA,NA,0.0612917844154297
"Aa / Aa",NA,0.630833072866639,NA,NA,NA,NA
"Aa / Aa",NA,-0.149206184871251,NA,0.0468638545646683,0.0451296756737993,NA
"Aa * Aa",NA,3.95969037939233,NA,NA,NA,NA
"Aa + Aa",NA,1.97165691693432,NA,NA,NA,0.152184523675619
"Aa - Aa",NA,1.43296291056062,NA,NA,NA,NA
"Aa - Aa",NA,-1.43296291056062,NA,NA,NA,NA
"Aa",2.07,2.24447022836112,NA,NA,-0.538620071277162,NA
"Aa",18.6,18.9547936508821,NA,NA,NA,NA
"Aa / Aa",NA,-0.0300720041547166,NA,NA,NA,NA
"Aa / Aa",NA,0.698896705048865,NA,NA,NA,NA
"Aa * Aa",NA,349.999638688754,NA,NA,NA,NA
"Aa + Aa",NA,21.0709036998893,NA,NA,NA,NA
"Aa - Aa",NA,-16.8287004866987,NA,NA,NA,NA
"Aa - Aa",NA,16.8287004866987,NA,NA,NA,NA
"Aa",0.0154761904761905,0.01548846648368,NA,NA,-0.000193580538694833,NA
"Aa",14.085,14.478354208592,NA,NA,NA,NA
"Aa / Aa",NA,0.000224828004365672,NA,-4.55295686411571e-05,-1.81415793531609e-05,NA
"Aa / Aa",NA,4508.90365743148,NA,32663.7107265203,29573.3431068802,44128.2815143452
"Aa * Aa",NA,1.11885002272083,NA,0.208095826519906,NA,NA
"Aa + Aa",NA,14.4937926312993,NA,NA,NA,NA
"Aa - Aa",NA,-14.4629157871709,NA,NA,NA,NA
"Aa - Aa",NA,14.4629157871709,NA,NA,NA,NA
"Aa",14.1,14.0900642209922,NA,NA,NA,NA
"Aa",19.1666666635,19.5730561167714,NA,NA,NA,NA
"Aa / Aa",NA,0.300339196500448,NA,NA,NA,NA
"Aa / Aa",NA,1.02620514425027,NA,NA,NA,NA
"Aa * Aa",NA,422.221342995227,NA,251.796204374049,NA,NA
"Aa + Aa",NA,33.7488532952619,NA,NA,NA,NA
"Aa - Aa",NA,-5.34797860437227,NA,NA,NA,NA
"Aa - Aa",NA,5.34797860437227,NA,NA,NA,NA
"Aa",495,493.593343271873,NA,NA,NA,NA
"Aa",18.55,18.7423912399458,NA,NA,NA,NA
"Aa / Aa",NA,1.75113057942216,NA,NA,NA,NA
"Aa / Aa",NA,-0.00442111675176988,NA,NA,NA,NA
"Aa * Aa",NA,60004.3445003714,NA,NA,NA,NA
"Aa + Aa",NA,512.666482093114,NA,NA,NA,NA
"Aa - Aa",NA,474.597210957559,NA,NA,NA,NA
"Aa - Aa",NA,-474.597210957559,NA,NA,NA,NA
"Aa",76.5,76.3208625395877,NA,NA,NA,NA
"Aa",23.4,24.634524675406,NA,NA,NA,NA
"Aa / Aa",NA,0.519399886638826,NA,-0.0977569535249132,NA,NA
"Aa / Aa",NA,2.16937870860001,NA,NA,NA,NA
"Aa * Aa",NA,11360.3686994085,NA,1690.48914566732,NA,NA
"Aa + Aa",NA,101.378751758239,NA,NA,NA,NA
"Aa - Aa",NA,52.0755381788943,NA,NA,NA,NA
"Aa - Aa",NA,-52.0755381788943,NA,NA,NA,NA
"Aa",1.1,1.17080846650405,NA,NA,NA,NA
"Aa",1.5,1.55872502868898,NA,NA,NA,NA
